uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
0|26.03.2019|PRG|11:35|FAO|21:35|11:00|673|PRG|11:35|EIN|13:00|Ryanair|339||EIN|11:35|FAO|21:35|Ryanair|334||29.01.2019|Tuesday|út
1|27.03.2019|PRG|07:20|FAO|22:05|15:45|724|PRG|07:20|STN|08:30|Ryanair|339|3|STN|07:20|FAO|22:05|Ryanair|385|2|29.01.2019|Tuesday|st
2|26.02.2019|PRG|11:35|FAO|21:35|11:00|775|PRG|11:35|EIN|13:00|Ryanair|389||EIN|11:35|FAO|21:35|Ryanair|386||29.01.2019|Tuesday|út
3|03.04.2019|PRG|07:50|FAO|13:05|6:15|827|PRG|07:50|EIN|09:15|Ryanair|389||EIN|07:50|FAO|13:05|Ryanair|438||29.01.2019|Tuesday|st
4|02.04.2019|PRG|06:15|FAO|17:10|11:55|904|PRG|06:15|CRL|07:50|Ryanair|389||CRL|06:15|FAO|17:10|Ryanair|515||29.01.2019|Tuesday|út
5|03.04.2019|PRG|08:55|FAO|15:50|7:55|904|PRG|08:55|CRL|10:30|Ryanair|389||CRL|08:55|FAO|15:50|Ryanair|515|4|29.01.2019|Tuesday|st
6|12.03.2019|PRG|11:35|FAO|21:35|11:00|1053|PRG|11:35|EIN|13:00|Ryanair|339||EIN|11:35|FAO|21:35|Ryanair|714||29.01.2019|Tuesday|út
7|19.03.2019|PRG|11:35|FAO|21:35|11:00|1053|PRG|11:35|EIN|13:00|Ryanair|339||EIN|11:35|FAO|21:35|Ryanair|714||29.01.2019|Tuesday|út
8|19.03.2019|PRG|07:20|FAO|22:05|15:45|1061|PRG|07:20|STN|08:30|Ryanair|676|3|STN|07:20|FAO|22:05|Ryanair|385||29.01.2019|Tuesday|út
9|26.03.2019|PRG|07:20|FAO|22:05|15:45|1061|PRG|07:20|STN|08:30|Ryanair|676||STN|07:20|FAO|22:05|Ryanair|385|5|29.01.2019|Tuesday|út
10|19.02.2019|PRG|11:35|FAO|21:35|11:00|1103|PRG|11:35|EIN|13:00|Ryanair|389||EIN|11:35|FAO|21:35|Ryanair|714|5|29.01.2019|Tuesday|út
11|08.05.2019|PRG|07:50|FAO|13:05|6:15|1121|PRG|07:50|EIN|09:15|Ryanair|529||EIN|07:50|FAO|13:05|Ryanair|592||29.01.2019|Tuesday|st
12|17.05.2019|PRG|06:15|FAO|15:50|10:35|1173|PRG|06:15|CRL|07:50|Ryanair|529||CRL|06:15|FAO|15:50|Ryanair|644|2|29.01.2019|Tuesday|pá
13|20.05.2019|PRG|06:15|FAO|18:15|13:00|1173|PRG|06:15|CRL|07:50|Ryanair|529||CRL|06:15|FAO|18:15|Ryanair|644|4|29.01.2019|Tuesday|po
