uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
0|26.03.2019|PRG|11:35|FAO|21:35|11:00|773|PRG|11:35|EIN|13:00|Ryanair|389||EIN|11:35|FAO|21:35|Ryanair|384||27.01.2019|Sunday|út
1|19.03.2019|PRG|11:35|FAO|21:35|11:00|947|PRG|11:35|EIN|13:00|Ryanair|485||EIN|11:35|FAO|21:35|Ryanair|461||27.01.2019|Sunday|út
2|12.03.2019|PRG|11:35|FAO|21:35|11:00|947|PRG|11:35|EIN|13:00|Ryanair|485||EIN|11:35|FAO|21:35|Ryanair|461||27.01.2019|Sunday|út
3|26.02.2019|PRG|11:35|FAO|21:35|11:00|990|PRG|11:35|EIN|13:00|Ryanair|529||EIN|11:35|FAO|21:35|Ryanair|461|2|27.01.2019|Sunday|út
4|03.04.2019|PRG|07:50|FAO|13:05|6:15|998|PRG|07:50|EIN|09:15|Ryanair|485||EIN|07:50|FAO|13:05|Ryanair|513||27.01.2019|Sunday|st
5|28.02.2019|PRG|07:20|FAO|22:05|15:45|1071|PRG|07:20|STN|08:30|Ryanair|774|3|STN|07:20|FAO|22:05|Ryanair|296||27.01.2019|Sunday|čt
6|02.04.2019|PRG|06:15|FAO|17:10|11:55|1075|PRG|06:15|CRL|07:50|Ryanair|485||CRL|06:15|FAO|17:10|Ryanair|590|1|27.01.2019|Sunday|út
7|26.03.2019|PRG|07:20|FAO|22:05|15:45|1122|PRG|07:20|STN|08:30|Ryanair|676||STN|07:20|FAO|22:05|Ryanair|445||27.01.2019|Sunday|út
8|11.06.2019|PRG|06:15|FAO|17:10|11:55|1170|PRG|06:15|CRL|07:50|Ryanair|529|1|CRL|06:15|FAO|17:10|Ryanair|641|3|27.01.2019|Sunday|út
9|12.06.2019|PRG|08:55|FAO|15:50|7:55|1170|PRG|08:55|CRL|10:30|Ryanair|529|2|CRL|08:55|FAO|15:50|Ryanair|641|4|27.01.2019|Sunday|st
