date_of_departure,departure_airport,time_of_departure,arrival_airport,time_of_arrival,flight_duration,flight_fare,departure_airport_flight1,time_of_departure_flight_1,arrival_airport_flight_1,time_of_arrival_flight_1,airlines_flight_1,flight_fare_flight_1,seats_for_lower_price_flight_1,departure_airport_flight_2,time_of_departure_flight_2,arrival_airport_flight_2,time_of_arrival_flight_2,airlines_flight_2,flight_fare_flight_2,seats_for_lower_price_flight_2
út 30.04.2019,PRG,06:15,FAO,17:10 Faro ,11:55 h / 1 přestup,1198 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,529 Kč,       ,CRL,út 06:15 Praha ,FAO,17:10 Faro ,Ryanair,669 Kč,       
čt 20.06.2019,PRG,06:15,FAO,15:50 Faro ,10:35 h / 1 přestup,1198 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,529 Kč,       ,CRL,čt 06:15 Praha ,FAO,15:50 Faro ,Ryanair,669 Kč,5       
čt 16.05.2019,PRG,06:15,FAO,15:50 Faro ,10:35 h / 1 přestup,1198 Kč,PRG,06:15,CRL,07:50 Brusel ,Ryanair,529 Kč,       ,CRL,čt 06:15 Praha ,FAO,15:50 Faro ,Ryanair,669 Kč,5       
st 19.06.2019,PRG,08:55,FAO,15:50 Faro ,7:55 h / 1 přestup,1198 Kč,PRG,08:55,CRL,10:30 Brusel ,Ryanair,529 Kč,       ,CRL,st 08:55 Praha ,FAO,15:50 Faro ,Ryanair,669 Kč,       
út 12.03.2019,PRG,07:20,FAO,22:05 Faro ,15:45 h / 1 přestup,1211 Kč,PRG,07:20,STN,08:30 Londýn ,Ryanair,676 Kč,2       ,STN,út 07:20 Praha ,FAO,22:05 Faro ,Ryanair,534 Kč,1       
út 14.05.2019,PRG,06:35,FAO,18:55 Faro ,13:20 h / 1 přestup,1212 Kč,PRG,06:35,STN,07:35 Londýn ,Ryanair,529 Kč,       ,STN,út 06:35 Praha ,FAO,18:55 Faro ,Ryanair,683 Kč,2       
st 29.05.2019,PRG,06:35,FAO,20:55 Faro ,15:20 h / 1 přestup,1212 Kč,PRG,06:35,STN,07:35 Londýn ,Ryanair,529 Kč,       ,STN,st 06:35 Praha ,FAO,20:55 Faro ,Ryanair,683 Kč,4       
út 02.04.2019,PRG,12:25,FAO,21:50 Faro ,10:25 h / 1 přestup,779 Kč,PRG,12:25,LGW,13:35 Londýn ,easyJet,333 Kč,3       ,LGW,út 12:25 Praha ,FAO,21:50 Faro ,easyJet,445 Kč,3       
st 12.06.2019,PRG,07:50,FAO,13:05 Faro ,6:15 h / 1 přestup,1240 Kč,PRG,07:50,EIN,09:15 Eindhoven ,Ryanair,529 Kč,       ,EIN,st 07:50 Praha ,FAO,13:05 Faro ,Ryanair,711 Kč,3       
st 15.05.2019,PRG,07:50,FAO,13:05 Faro ,6:15 h / 1 přestup,1240 Kč,PRG,07:50,EIN,09:15 Eindhoven ,Ryanair,529 Kč,       ,EIN,st 07:50 Praha ,FAO,13:05 Faro ,Ryanair,711 Kč,3       
