uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
0|26.03.2019|PRG|11:35|FAO|21:35|11:00|723|PRG|11:35|FAO|13:00|Ryanair|338||EIN|19:30|FAO|21:35|Ryanair|384||26.02.2019|Tuesday|Tuesday
1|12.03.2019|PRG|11:35|FAO|21:35|11:00|723|PRG|11:35|FAO|13:00|Ryanair|338||EIN|19:30|FAO|21:35|Ryanair|384||26.02.2019|Tuesday|Tuesday
2|03.04.2019|PRG|11:40|FAO|20:55|10:15|883|PRG|11:40|FAO|12:40|Ryanair|438||STN|18:00|FAO|20:55|Ryanair|444||26.02.2019|Tuesday|Wednesday
3|03.04.2019|PRG|06:35|FAO|17:55|12:20|883|PRG|06:35|FAO|07:35|Ryanair|438||STN|15:00|FAO|17:55|Ryanair|444|2|26.02.2019|Tuesday|Wednesday
4|03.04.2019|PRG|06:35|FAO|20:55|15:20|883|PRG|06:35|FAO|07:35|Ryanair|438||STN|18:00|FAO|20:55|Ryanair|444||26.02.2019|Tuesday|Wednesday
5|03.04.2019|PRG|11:40|FAO|17:55|7:15|883|PRG|11:40|FAO|12:40|Ryanair|438||STN|15:00|FAO|17:55|Ryanair|444|2|26.02.2019|Tuesday|Wednesday
6|02.04.2019|PRG|06:35|FAO|18:55|13:20|883|PRG|06:35|FAO|07:35|Ryanair|438||STN|16:00|FAO|18:55|Ryanair|444||26.02.2019|Tuesday|Tuesday
7|11.05.2019|PRG|16:20|FAO|22:10|6:50|943|PRG|16:20|FAO|17:10|Ryanair|438|3|STN|19:15|FAO|22:10|Ryanair|504||26.02.2019|Tuesday|Saturday
8|14.05.2019|PRG|06:35|FAO|18:55|13:20|943|PRG|06:35|FAO|07:35|Ryanair|438||STN|16:00|FAO|18:55|Ryanair|504||26.02.2019|Tuesday|Tuesday
9|11.05.2019|PRG|06:35|FAO|22:10|16:35|943|PRG|06:35|FAO|07:35|Ryanair|438|2|STN|19:15|FAO|22:10|Ryanair|504||26.02.2019|Tuesday|Saturday
10|02.04.2019|PRG|16:15|FAO|22:25|7:10|953|PRG|16:15|FAO|17:20|Wizz Air|508||LTN|19:30|FAO|22:25|Ryanair|444||26.02.2019|Tuesday|Tuesday
11|07.05.2019|PRG|06:15|FAO|17:10|11:55|1002|PRG|06:15|FAO|07:50|Ryanair|438||CRL|15:15|FAO|17:10|Ryanair|563||26.02.2019|Tuesday|Tuesday
12|09.05.2019|PRG|06:15|FAO|15:50|10:35|1002|PRG|06:15|FAO|07:50|Ryanair|438||CRL|13:55|FAO|15:50|Ryanair|563|1|26.02.2019|Tuesday|Thursday
13|20.05.2019|PRG|06:15|FAO|18:15|13:00|1002|PRG|06:15|FAO|07:50|Ryanair|438|2|CRL|16:20|FAO|18:15|Ryanair|563||26.02.2019|Tuesday|Monday
14|21.05.2019|PRG|06:15|FAO|17:10|11:55|1002|PRG|06:15|FAO|07:50|Ryanair|438||CRL|15:15|FAO|17:10|Ryanair|563||26.02.2019|Tuesday|Tuesday
15|14.05.2019|PRG|06:15|FAO|17:10|11:55|1002|PRG|06:15|FAO|07:50|Ryanair|438||CRL|15:15|FAO|17:10|Ryanair|563||26.02.2019|Tuesday|Tuesday
16|11.05.2019|PRG|06:15|FAO|15:05|9:50|1002|PRG|06:15|FAO|07:50|Ryanair|438||CRL|13:10|FAO|15:05|Ryanair|563||26.02.2019|Tuesday|Saturday
17|15.05.2019|PRG|08:55|FAO|15:50|7:55|1002|PRG|08:55|FAO|10:30|Ryanair|438||CRL|13:55|FAO|15:50|Ryanair|563||26.02.2019|Tuesday|Wednesday
18|12.05.2019|PRG|06:05|FAO|15:50|10:45|1002|PRG|06:05|FAO|07:40|Ryanair|438||CRL|13:55|FAO|15:50|Ryanair|563|2|26.02.2019|Tuesday|Sunday
19|16.05.2019|PRG|06:15|FAO|15:50|10:35|1002|PRG|06:15|FAO|07:50|Ryanair|438||CRL|13:55|FAO|15:50|Ryanair|563||26.02.2019|Tuesday|Thursday
20|14.05.2019|PRG|16:15|FAO|22:25|7:10|1013|PRG|16:15|FAO|17:20|Wizz Air|508||LTN|19:30|FAO|22:25|Ryanair|504||26.02.2019|Tuesday|Tuesday
21|21.05.2019|PRG|16:15|FAO|22:25|7:10|1013|PRG|16:15|FAO|17:20|Wizz Air|508||LTN|19:30|FAO|22:25|Ryanair|504|1|26.02.2019|Tuesday|Tuesday
22|11.05.2019|PRG|16:15|FAO|22:25|7:10|1013|PRG|16:15|FAO|17:20|Wizz Air|508|3|LTN|19:30|FAO|22:25|Ryanair|504||26.02.2019|Tuesday|Saturday
23|19.03.2019|PRG|11:35|FAO|21:35|11:00|1050|PRG|11:35|FAO|13:00|Ryanair|338||EIN|19:30|FAO|21:35|Ryanair|711|3|26.02.2019|Tuesday|Tuesday
24|30.04.2019|PRG|16:15|FAO|22:25|7:10|1073|PRG|16:15|FAO|17:20|Wizz Air|628|9|LTN|19:30|FAO|22:25|Ryanair|444||26.02.2019|Tuesday|Tuesday
25|04.05.2019|PRG|16:15|FAO|22:25|7:10|1102|PRG|16:15|FAO|17:20|Wizz Air|508|2|LTN|19:30|FAO|22:25|Ryanair|593||26.02.2019|Tuesday|Saturday
26|06.05.2019|PRG|06:15|FAO|18:15|13:00|1108|PRG|06:15|FAO|07:50|Ryanair|438|2|CRL|16:20|FAO|18:15|Ryanair|669||26.02.2019|Tuesday|Monday
27|22.05.2019|PRG|08:55|FAO|15:50|7:55|1108|PRG|08:55|FAO|10:30|Ryanair|438||CRL|13:55|FAO|15:50|Ryanair|669||26.02.2019|Tuesday|Wednesday
28|30.04.2019|PRG|06:35|FAO|18:55|13:20|1121|PRG|06:35|FAO|07:35|Ryanair|676||STN|16:00|FAO|18:55|Ryanair|444||26.02.2019|Tuesday|Tuesday
