uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
0|26.03.2019|PRG|11:35|FAO|21:35|11:00|672|PRG|11:35|FAO|13:00|Ryanair|339||EIN|19:30|FAO|21:35|Ryanair|333||05.02.2019|Tuesday|út
1|03.04.2019|PRG|07:50|FAO|13:05|6:15|825|PRG|07:50|FAO|09:15|Ryanair|389||EIN|11:00|FAO|13:05|Ryanair|436||05.02.2019|Tuesday|st
2|01.04.2019|PRG|14:15|FAO|20:10|6:55|1013|PRG|14:15|FAO|15:25|Ryanair|485||LPL|17:15|FAO|20:10|Ryanair|527||05.02.2019|Tuesday|po
3|12.03.2019|PRG|11:35|FAO|21:35|11:00|1051|PRG|11:35|FAO|13:00|Ryanair|339||EIN|19:30|FAO|21:35|Ryanair|712||05.02.2019|Tuesday|út
4|19.03.2019|PRG|11:35|FAO|21:35|11:00|1051|PRG|11:35|FAO|13:00|Ryanair|339||EIN|19:30|FAO|21:35|Ryanair|712|2|05.02.2019|Tuesday|út
5|26.03.2019|PRG|07:20|FAO|22:05|15:45|1057|PRG|07:20|FAO|08:30|Ryanair|676||STN|19:10|FAO|22:05|Ryanair|380||05.02.2019|Tuesday|út
6|13.03.2019|PRG|07:20|FAO|22:05|15:45|1057|PRG|07:20|FAO|08:30|Ryanair|676|1|STN|19:10|FAO|22:05|Ryanair|380|1|05.02.2019|Tuesday|st
7|19.03.2019|PRG|07:20|FAO|22:05|15:45|1057|PRG|07:20|FAO|08:30|Ryanair|676|1|STN|19:10|FAO|22:05|Ryanair|380|1|05.02.2019|Tuesday|út
8|02.04.2019|PRG|06:15|FAO|17:10|11:55|1059|PRG|06:15|FAO|07:50|Ryanair|389||CRL|15:15|FAO|17:10|Ryanair|670|3|05.02.2019|Tuesday|út
9|21.05.2019|PRG|16:15|FAO|22:25|7:10|1094|PRG|16:15|FAO|17:20|Wizz Air|509|4|LTN|19:30|FAO|22:25|Ryanair|585||05.02.2019|Tuesday|út
10|26.02.2019|PRG|11:35|FAO|21:35|11:00|1101|PRG|11:35|FAO|13:00|Ryanair|389||EIN|19:30|FAO|21:35|Ryanair|712|1|05.02.2019|Tuesday|út
11|12.06.2019|PRG|06:35|FAO|20:55|15:20|1114|PRG|06:35|FAO|07:35|Ryanair|529||STN|18:00|FAO|20:55|Ryanair|585||05.02.2019|Tuesday|st
