uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
0|14.05.2019|PRG|16:15|FAO|22:25|7:10|658|PRG|16:15|FAO|17:20|Wizz Air|509||LTN|19:30|FAO|22:25|Ryanair|149||03.04.2019|Wednesday|Tuesday
1|15.05.2019|PRG|06:35|FAO|17:55|12:20|838|PRG|06:35|FAO|07:35|Ryanair|389||STN|15:00|FAO|17:55|Ryanair|449|5|03.04.2019|Wednesday|Wednesday
2|15.05.2019|PRG|06:35|FAO|20:55|15:20|838|PRG|06:35|FAO|07:35|Ryanair|389||STN|18:00|FAO|20:55|Ryanair|449||03.04.2019|Wednesday|Wednesday
3|15.05.2019|PRG|11:40|FAO|17:55|7:15|838|PRG|11:40|FAO|12:40|Ryanair|389||STN|15:00|FAO|17:55|Ryanair|449|5|03.04.2019|Wednesday|Wednesday
4|15.05.2019|PRG|11:40|FAO|20:55|10:15|838|PRG|11:40|FAO|12:40|Ryanair|389||STN|18:00|FAO|20:55|Ryanair|449||03.04.2019|Wednesday|Wednesday
5|09.05.2019|PRG|06:15|FAO|15:50|10:35|904|PRG|06:15|FAO|07:50|Ryanair|389||CRL|13:55|FAO|15:50|Ryanair|515||03.04.2019|Wednesday|Thursday
6|14.05.2019|PRG|06:15|FAO|17:50|12:35|904|PRG|06:15|FAO|07:50|Ryanair|389||CRL|15:55|FAO|17:50|Ryanair|515||03.04.2019|Wednesday|Tuesday
7|11.05.2019|PRG|16:15|FAO|22:25|7:10|958|PRG|16:15|FAO|17:20|Wizz Air|509||LTN|19:30|FAO|22:25|Ryanair|449||03.04.2019|Wednesday|Saturday
8|18.05.2019|PRG|16:15|FAO|22:25|7:10|958|PRG|16:15|FAO|17:20|Wizz Air|509||LTN|19:30|FAO|22:25|Ryanair|449|5|03.04.2019|Wednesday|Saturday
9|29.05.2019|PRG|06:35|FAO|20:55|15:20|1025|PRG|06:35|FAO|07:35|Ryanair|485|2|STN|18:00|FAO|20:55|Ryanair|539|3|03.04.2019|Wednesday|Wednesday
10|21.05.2019|PRG|06:15|FAO|17:50|12:35|1061|PRG|06:15|FAO|07:50|Ryanair|389||CRL|15:55|FAO|17:50|Ryanair|672||03.04.2019|Wednesday|Tuesday
11|15.05.2019|PRG|08:55|FAO|15:50|7:55|1061|PRG|08:55|FAO|10:30|Ryanair|389||CRL|13:55|FAO|15:50|Ryanair|672||03.04.2019|Wednesday|Wednesday
12|11.05.2019|PRG|06:15|FAO|15:05|9:50|1103|PRG|06:15|FAO|07:50|Ryanair|389||CRL|13:10|FAO|15:05|Ryanair|714|3|03.04.2019|Wednesday|Saturday
13|14.05.2019|PRG|06:35|FAO|18:55|13:20|1126|PRG|06:35|FAO|07:35|Ryanair|676||STN|16:00|FAO|18:55|Ryanair|449||03.04.2019|Wednesday|Tuesday
14|20.05.2019|PRG|10:50|FAO|18:55|9:05|673|PRG|10:50|FAO|11:45|easyJet|554|2|SEN|16:10|FAO|18:55|Ryanair|119|1|03.04.2019|Wednesday|Monday
15|18.05.2019|PRG|06:35|FAO|22:10|16:35|1168|PRG|06:35|FAO|07:35|Ryanair|718||STN|19:15|FAO|22:10|Ryanair|449||03.04.2019|Wednesday|Saturday
16|18.06.2019|PRG|06:15|FAO|17:50|12:35|1172|PRG|06:15|FAO|07:50|Ryanair|528||CRL|15:55|FAO|17:50|Ryanair|643||03.04.2019|Wednesday|Tuesday
17|16.05.2019|PRG|06:15|FAO|15:50|10:35|1187|PRG|06:15|FAO|07:50|Ryanair|389||CRL|13:55|FAO|15:50|Ryanair|798||03.04.2019|Wednesday|Thursday
18|15.05.2019|PRG|10:50|FAO|19:50|10:00|731|PRG|10:50|FAO|11:45|easyJet|342|8|SEN|17:05|FAO|19:50|Ryanair|389||03.04.2019|Wednesday|Wednesday
19|09.05.2019|PRG|06:35|FAO|22:10|16:35|1196|PRG|06:35|FAO|07:35|Ryanair|389||STN|19:15|FAO|22:10|Ryanair|807|2|03.04.2019|Wednesday|Thursday
20|13.05.2019|PRG|06:35|FAO|18:00|12:25|1196|PRG|06:35|FAO|07:35|Ryanair|389|1|STN|15:05|FAO|18:00|Ryanair|807||03.04.2019|Wednesday|Monday
21|21.05.2019|PRG|06:35|FAO|18:55|13:20|1196|PRG|06:35|FAO|07:35|Ryanair|389||STN|16:00|FAO|18:55|Ryanair|807|4|03.04.2019|Wednesday|Tuesday
22|04.06.2019|PRG|06:35|FAO|18:55|13:20|1218|PRG|06:35|FAO|07:35|Ryanair|528||STN|16:00|FAO|18:55|Ryanair|689||03.04.2019|Wednesday|Tuesday
23|11.06.2019|PRG|06:35|FAO|18:55|13:20|1218|PRG|06:35|FAO|07:35|Ryanair|528||STN|16:00|FAO|18:55|Ryanair|689|3|03.04.2019|Wednesday|Tuesday
24|04.06.2019|PRG|16:15|FAO|22:25|7:10|1228|PRG|16:15|FAO|17:20|Wizz Air|628|3|LTN|19:30|FAO|22:25|Ryanair|599||03.04.2019|Wednesday|Tuesday
25|11.06.2019|PRG|16:15|FAO|22:25|7:10|1228|PRG|16:15|FAO|17:20|Wizz Air|628|4|LTN|19:30|FAO|22:25|Ryanair|599||03.04.2019|Wednesday|Tuesday
26|18.06.2019|PRG|16:15|FAO|22:25|7:10|1228|PRG|16:15|FAO|17:20|Wizz Air|628|5|LTN|19:30|FAO|22:25|Ryanair|599|5|03.04.2019|Wednesday|Tuesday
27|17.05.2019|PRG|06:15|FAO|15:50|10:35|1237|PRG|06:15|FAO|07:50|Ryanair|389||CRL|13:55|FAO|15:50|Ryanair|848|3|03.04.2019|Wednesday|Friday
28|26.06.2019|PRG|07:50|FAO|13:05|6:15|1242|PRG|07:50|FAO|09:15|Ryanair|598||EIN|11:00|FAO|13:05|Ryanair|643||03.04.2019|Wednesday|Wednesday
29|15.05.2019|PRG|07:50|FAO|13:05|6:15|1250|PRG|07:50|FAO|09:15|Ryanair|389||EIN|11:00|FAO|13:05|Ryanair|861|3|03.04.2019|Wednesday|Wednesday
30|04.06.2019|PRG|06:15|FAO|17:50|12:35|1251|PRG|06:15|FAO|07:50|Ryanair|528||CRL|15:55|FAO|17:50|Ryanair|722|5|03.04.2019|Wednesday|Tuesday
31|08.05.2019|PRG|06:35|FAO|20:55|15:20|1264|PRG|06:35|FAO|07:35|Ryanair|815|2|STN|18:00|FAO|20:55|Ryanair|449||03.04.2019|Wednesday|Wednesday
32|08.05.2019|PRG|06:35|FAO|17:55|12:20|1264|PRG|06:35|FAO|07:35|Ryanair|815|2|STN|15:00|FAO|17:55|Ryanair|449|5|03.04.2019|Wednesday|Wednesday
33|25.06.2019|PRG|16:15|FAO|22:25|7:10|1288|PRG|16:15|FAO|17:20|Wizz Air|688|2|LTN|19:30|FAO|22:25|Ryanair|599|2|03.04.2019|Wednesday|Tuesday
34|15.05.2019|PRG|15:05|FAO|20:55|6:50|852|PRG|15:05|FAO|15:55|easyJet|402|8|STN|18:00|FAO|20:55|Ryanair|449||03.04.2019|Wednesday|Wednesday
35|05.06.2019|PRG|10:50|FAO|19:50|10:00|853|PRG|10:50|FAO|11:45|easyJet|463|8|SEN|17:05|FAO|19:50|Ryanair|389|2|03.04.2019|Wednesday|Wednesday
36|18.05.2019|PRG|16:20|FAO|22:10|6:50|1315|PRG|16:20|FAO|17:10|Ryanair|866|2|STN|19:15|FAO|22:10|Ryanair|449||03.04.2019|Wednesday|Saturday
37|21.05.2019|PRG|16:15|FAO|22:25|7:10|1317|PRG|16:15|FAO|17:20|Wizz Air|509||LTN|19:30|FAO|22:25|Ryanair|807||03.04.2019|Wednesday|Tuesday
38|12.06.2019|PRG|06:35|FAO|20:55|15:20|1336|PRG|06:35|FAO|07:35|Ryanair|528||STN|18:00|FAO|20:55|Ryanair|807||03.04.2019|Wednesday|Wednesday
39|05.06.2019|PRG|06:35|FAO|20:55|15:20|1336|PRG|06:35|FAO|07:35|Ryanair|528||STN|18:00|FAO|20:55|Ryanair|807|4|03.04.2019|Wednesday|Wednesday
40|22.05.2019|PRG|08:55|FAO|15:50|7:55|1355|PRG|08:55|FAO|10:30|Ryanair|389||CRL|13:55|FAO|15:50|Ryanair|966|2|03.04.2019|Wednesday|Wednesday
41|07.06.2019|PRG|14:15|FAO|20:10|6:55|1357|PRG|14:15|FAO|15:25|Ryanair|598||LPL|17:15|FAO|20:10|Ryanair|758|2|03.04.2019|Wednesday|Friday
42|19.06.2019|PRG|08:55|FAO|15:50|7:55|1369|PRG|08:55|FAO|10:30|Ryanair|528|2|CRL|13:55|FAO|15:50|Ryanair|840||03.04.2019|Wednesday|Wednesday
43|12.06.2019|PRG|08:55|FAO|15:50|7:55|1369|PRG|08:55|FAO|10:30|Ryanair|528||CRL|13:55|FAO|15:50|Ryanair|840||03.04.2019|Wednesday|Wednesday
44|13.06.2019|PRG|06:15|FAO|15:50|10:35|1369|PRG|06:15|FAO|07:50|Ryanair|528||CRL|13:55|FAO|15:50|Ryanair|840||03.04.2019|Wednesday|Thursday
45|12.05.2019|PRG|06:05|FAO|15:50|10:45|1381|PRG|06:05|FAO|07:40|Ryanair|866|3|CRL|13:55|FAO|15:50|Ryanair|515||03.04.2019|Wednesday|Sunday
46|29.05.2019|PRG|06:35|FAO|17:55|12:20|1391|PRG|06:35|FAO|07:35|Ryanair|485|2|STN|15:00|FAO|17:55|Ryanair|905||03.04.2019|Wednesday|Wednesday
47|17.05.2019|PRG|10:50|FAO|18:55|9:05|943|PRG|10:50|FAO|11:45|easyJet|554|2|SEN|16:10|FAO|18:55|Ryanair|389|1|03.04.2019|Wednesday|Friday
48|26.04.2019|PRG|10:50|FAO|18:55|9:05|943|PRG|10:50|FAO|11:45|easyJet|554|6|SEN|16:10|FAO|18:55|Ryanair|389||03.04.2019|Wednesday|Friday
49|19.06.2019|PRG|10:50|FAO|19:50|10:00|943|PRG|10:50|FAO|11:45|easyJet|554|5|SEN|17:05|FAO|19:50|Ryanair|389|2|03.04.2019|Wednesday|Wednesday
50|30.04.2019|PRG|06:35|FAO|18:55|13:20|1408|PRG|06:35|FAO|07:35|Ryanair|1018|5|STN|16:00|FAO|18:55|Ryanair|389||03.04.2019|Wednesday|Tuesday
51|22.05.2019|PRG|07:50|FAO|13:05|6:15|1418|PRG|07:50|FAO|09:15|Ryanair|389||EIN|11:00|FAO|13:05|Ryanair|1029|3|03.04.2019|Wednesday|Wednesday
52|07.05.2019|PRG|16:15|FAO|22:25|7:10|1418|PRG|16:15|FAO|17:20|Wizz Air|1269|3|LTN|19:30|FAO|22:25|Ryanair|149||03.04.2019|Wednesday|Tuesday
