uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
0|26.03.2019|PRG|11:35|FAO|21:35|11:00|720|PRG|11:35|FAO|13:00|Ryanair|339||EIN|19:30|FAO|21:35|Ryanair|381||24.02.2019|Sunday|Tuesday
1|12.03.2019|PRG|11:35|FAO|21:35|11:00|720|PRG|11:35|FAO|13:00|Ryanair|339||EIN|19:30|FAO|21:35|Ryanair|381||24.02.2019|Sunday|Tuesday
2|03.04.2019|PRG|06:35|FAO|20:55|15:20|878|PRG|06:35|FAO|07:35|Ryanair|439||STN|18:00|FAO|20:55|Ryanair|439||24.02.2019|Sunday|Wednesday
3|02.04.2019|PRG|06:35|FAO|18:55|13:20|878|PRG|06:35|FAO|07:35|Ryanair|439||STN|16:00|FAO|18:55|Ryanair|439||24.02.2019|Sunday|Tuesday
4|03.04.2019|PRG|11:40|FAO|17:55|7:15|878|PRG|11:40|FAO|12:40|Ryanair|439||STN|15:00|FAO|17:55|Ryanair|439|5|24.02.2019|Sunday|Wednesday
5|03.04.2019|PRG|06:35|FAO|17:55|12:20|878|PRG|06:35|FAO|07:35|Ryanair|439||STN|15:00|FAO|17:55|Ryanair|439|5|24.02.2019|Sunday|Wednesday
6|03.04.2019|PRG|11:40|FAO|20:55|10:15|878|PRG|11:40|FAO|12:40|Ryanair|439||STN|18:00|FAO|20:55|Ryanair|439||24.02.2019|Sunday|Wednesday
7|14.05.2019|PRG|06:35|FAO|18:55|13:20|937|PRG|06:35|FAO|07:35|Ryanair|439|2|STN|16:00|FAO|18:55|Ryanair|498||24.02.2019|Sunday|Tuesday
8|15.05.2019|PRG|07:50|FAO|13:05|6:15|947|PRG|07:50|FAO|09:15|Ryanair|439||EIN|11:00|FAO|13:05|Ryanair|508||24.02.2019|Sunday|Wednesday
9|30.04.2019|PRG|16:15|FAO|22:25|7:10|948|PRG|16:15|FAO|17:20|Wizz Air|509|1|LTN|19:30|FAO|22:25|Ryanair|439||24.02.2019|Sunday|Tuesday
10|02.04.2019|PRG|16:15|FAO|22:25|7:10|948|PRG|16:15|FAO|17:20|Wizz Air|509||LTN|19:30|FAO|22:25|Ryanair|439||24.02.2019|Sunday|Tuesday
11|15.05.2019|PRG|08:55|FAO|15:50|7:55|998|PRG|08:55|FAO|10:30|Ryanair|439||CRL|13:55|FAO|15:50|Ryanair|559||24.02.2019|Sunday|Wednesday
12|09.05.2019|PRG|06:15|FAO|15:50|10:35|998|PRG|06:15|FAO|07:50|Ryanair|439||CRL|13:55|FAO|15:50|Ryanair|559|3|24.02.2019|Sunday|Thursday
13|21.05.2019|PRG|06:15|FAO|17:10|11:55|998|PRG|06:15|FAO|07:50|Ryanair|439||CRL|15:15|FAO|17:10|Ryanair|559||24.02.2019|Sunday|Tuesday
14|07.05.2019|PRG|06:15|FAO|17:10|11:55|998|PRG|06:15|FAO|07:50|Ryanair|439||CRL|15:15|FAO|17:10|Ryanair|559||24.02.2019|Sunday|Tuesday
15|16.05.2019|PRG|06:15|FAO|15:50|10:35|998|PRG|06:15|FAO|07:50|Ryanair|439||CRL|13:55|FAO|15:50|Ryanair|559||24.02.2019|Sunday|Thursday
16|11.05.2019|PRG|06:15|FAO|15:05|9:50|998|PRG|06:15|FAO|07:50|Ryanair|439||CRL|13:10|FAO|15:05|Ryanair|559||24.02.2019|Sunday|Saturday
17|14.05.2019|PRG|06:15|FAO|17:10|11:55|998|PRG|06:15|FAO|07:50|Ryanair|439||CRL|15:15|FAO|17:10|Ryanair|559||24.02.2019|Sunday|Tuesday
18|22.05.2019|PRG|08:55|FAO|15:50|7:55|998|PRG|08:55|FAO|10:30|Ryanair|439||CRL|13:55|FAO|15:50|Ryanair|559||24.02.2019|Sunday|Wednesday
19|03.05.2019|PRG|06:15|FAO|15:50|10:35|998|PRG|06:15|FAO|07:50|Ryanair|439||CRL|13:55|FAO|15:50|Ryanair|559|1|24.02.2019|Sunday|Friday
20|14.05.2019|PRG|16:15|FAO|22:25|7:10|1007|PRG|16:15|FAO|17:20|Wizz Air|509||LTN|19:30|FAO|22:25|Ryanair|498||24.02.2019|Sunday|Tuesday
21|21.05.2019|PRG|16:15|FAO|22:25|7:10|1007|PRG|16:15|FAO|17:20|Wizz Air|509||LTN|19:30|FAO|22:25|Ryanair|498||24.02.2019|Sunday|Tuesday
22|11.05.2019|PRG|16:15|FAO|22:25|7:10|1007|PRG|16:15|FAO|17:20|Wizz Air|509|7|LTN|19:30|FAO|22:25|Ryanair|498||24.02.2019|Sunday|Saturday
