uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
0|30.04.2019|PRG|06:35|FAO|18:55|13:20|779|PRG|06:35|FAO|07:35|Ryanair|389|1|STN|16:00|FAO|18:55|Ryanair|390||25.03.2019|Monday|Tuesday
1|15.05.2019|PRG|11:40|FAO|17:55|7:15|839|PRG|11:40|FAO|12:40|Ryanair|389|2|STN|15:00|FAO|17:55|Ryanair|450||25.03.2019|Monday|Wednesday
2|15.05.2019|PRG|11:40|FAO|20:55|10:15|839|PRG|11:40|FAO|12:40|Ryanair|389|2|STN|18:00|FAO|20:55|Ryanair|450||25.03.2019|Monday|Wednesday
3|15.05.2019|PRG|06:35|FAO|20:55|15:20|839|PRG|06:35|FAO|07:35|Ryanair|389||STN|18:00|FAO|20:55|Ryanair|450||25.03.2019|Monday|Wednesday
4|21.05.2019|PRG|06:35|FAO|18:55|13:20|839|PRG|06:35|FAO|07:35|Ryanair|389||STN|16:00|FAO|18:55|Ryanair|450|1|25.03.2019|Monday|Tuesday
5|15.05.2019|PRG|06:35|FAO|17:55|12:20|839|PRG|06:35|FAO|07:35|Ryanair|389||STN|15:00|FAO|17:55|Ryanair|450||25.03.2019|Monday|Wednesday
6|14.05.2019|PRG|06:35|FAO|18:55|13:20|839|PRG|06:35|FAO|07:35|Ryanair|389||STN|16:00|FAO|18:55|Ryanair|450|4|25.03.2019|Monday|Tuesday
7|15.05.2019|PRG|08:55|FAO|15:50|7:55|904|PRG|08:55|FAO|10:30|Ryanair|389||CRL|13:55|FAO|15:50|Ryanair|515|4|25.03.2019|Monday|Wednesday
8|18.05.2019|PRG|16:15|FAO|22:25|7:10|959|PRG|16:15|FAO|17:20|Wizz Air|508||LTN|19:30|FAO|22:25|Ryanair|450|3|25.03.2019|Monday|Saturday
9|21.05.2019|PRG|16:15|FAO|22:25|7:10|959|PRG|16:15|FAO|17:20|Wizz Air|508|8|LTN|19:30|FAO|22:25|Ryanair|450||25.03.2019|Monday|Tuesday
10|14.05.2019|PRG|16:15|FAO|22:25|7:10|959|PRG|16:15|FAO|17:20|Wizz Air|508||LTN|19:30|FAO|22:25|Ryanair|450||25.03.2019|Monday|Tuesday
11|29.05.2019|PRG|06:35|FAO|20:55|15:20|1026|PRG|06:35|FAO|07:35|Ryanair|485|4|STN|18:00|FAO|20:55|Ryanair|540||25.03.2019|Monday|Wednesday
12|29.05.2019|PRG|06:35|FAO|17:55|12:20|1026|PRG|06:35|FAO|07:35|Ryanair|485|4|STN|15:00|FAO|17:55|Ryanair|540|1|25.03.2019|Monday|Wednesday
13|14.05.2019|PRG|06:15|FAO|17:50|12:35|1061|PRG|06:15|FAO|07:50|Ryanair|389||CRL|15:55|FAO|17:50|Ryanair|672||25.03.2019|Monday|Tuesday
14|07.05.2019|PRG|06:15|FAO|17:50|12:35|1061|PRG|06:15|FAO|07:50|Ryanair|389||CRL|15:55|FAO|17:50|Ryanair|672|1|25.03.2019|Monday|Tuesday
15|11.05.2019|PRG|16:15|FAO|22:25|7:10|1079|PRG|16:15|FAO|17:20|Wizz Air|629|4|LTN|19:30|FAO|22:25|Ryanair|450||25.03.2019|Monday|Saturday
16|13.05.2019|PRG|06:35|FAO|18:00|12:25|1126|PRG|06:35|FAO|07:35|Ryanair|676||STN|15:05|FAO|18:00|Ryanair|450||25.03.2019|Monday|Monday
17|18.05.2019|PRG|16:20|FAO|22:10|6:50|1168|PRG|16:20|FAO|17:10|Ryanair|718|5|STN|19:15|FAO|22:10|Ryanair|450|2|25.03.2019|Monday|Saturday
18|18.05.2019|PRG|06:35|FAO|22:10|16:35|1168|PRG|06:35|FAO|07:35|Ryanair|718|3|STN|19:15|FAO|22:10|Ryanair|450|2|25.03.2019|Monday|Saturday
19|11.05.2019|PRG|06:35|FAO|22:10|16:35|1168|PRG|06:35|FAO|07:35|Ryanair|718||STN|19:15|FAO|22:10|Ryanair|450|5|25.03.2019|Monday|Saturday
20|19.05.2019|PRG|06:35|FAO|13:45|8:10|1168|PRG|06:35|FAO|07:35|Ryanair|718|5|STN|10:50|FAO|13:45|Ryanair|450|2|25.03.2019|Monday|Sunday
21|19.06.2019|PRG|08:55|FAO|15:50|7:55|1172|PRG|08:55|FAO|10:30|Ryanair|529||CRL|13:55|FAO|15:50|Ryanair|643|1|25.03.2019|Monday|Wednesday
22|09.05.2019|PRG|06:15|FAO|15:50|10:35|1187|PRG|06:15|FAO|07:50|Ryanair|389||CRL|13:55|FAO|15:50|Ryanair|798|5|25.03.2019|Monday|Thursday
23|21.05.2019|PRG|06:15|FAO|17:50|12:35|1187|PRG|06:15|FAO|07:50|Ryanair|389||CRL|15:55|FAO|17:50|Ryanair|798||25.03.2019|Monday|Tuesday
24|15.05.2019|PRG|10:50|FAO|19:50|10:00|732|PRG|10:50|FAO|11:45|easyJet|342|8|SEN|17:05|FAO|19:50|Ryanair|390||25.03.2019|Monday|Wednesday
25|11.06.2019|PRG|06:35|FAO|18:55|13:20|1219|PRG|06:35|FAO|07:35|Ryanair|529|1|STN|16:00|FAO|18:55|Ryanair|690|5|25.03.2019|Monday|Tuesday
26|25.06.2019|PRG|16:15|FAO|22:25|7:10|1229|PRG|16:15|FAO|17:20|Wizz Air|629|5|LTN|19:30|FAO|22:25|Ryanair|600|3|25.03.2019|Monday|Tuesday
27|04.06.2019|PRG|16:15|FAO|22:25|7:10|1229|PRG|16:15|FAO|17:20|Wizz Air|629|2|LTN|19:30|FAO|22:25|Ryanair|600||25.03.2019|Monday|Tuesday
28|28.05.2019|PRG|06:15|FAO|17:50|12:35|1229|PRG|06:15|FAO|07:50|Ryanair|389||CRL|15:55|FAO|17:50|Ryanair|840||25.03.2019|Monday|Tuesday
29|19.05.2019|PRG|06:05|FAO|15:50|10:45|1237|PRG|06:05|FAO|07:40|Ryanair|389|1|CRL|13:55|FAO|15:50|Ryanair|848|3|25.03.2019|Monday|Sunday
30|11.05.2019|PRG|06:15|FAO|15:05|9:50|1237|PRG|06:15|FAO|07:50|Ryanair|389||CRL|13:10|FAO|15:05|Ryanair|848|1|25.03.2019|Monday|Saturday
31|19.06.2019|PRG|07:50|FAO|13:05|6:15|1243|PRG|07:50|FAO|09:15|Ryanair|599||EIN|11:00|FAO|13:05|Ryanair|643|2|25.03.2019|Monday|Wednesday
32|26.06.2019|PRG|07:50|FAO|13:05|6:15|1243|PRG|07:50|FAO|09:15|Ryanair|599||EIN|11:00|FAO|13:05|Ryanair|643||25.03.2019|Monday|Wednesday
33|12.06.2019|PRG|07:50|FAO|13:05|6:15|1243|PRG|07:50|FAO|09:15|Ryanair|599||EIN|11:00|FAO|13:05|Ryanair|643||25.03.2019|Monday|Wednesday
34|07.05.2019|PRG|06:35|FAO|18:55|13:20|1265|PRG|06:35|FAO|07:35|Ryanair|815|2|STN|16:00|FAO|18:55|Ryanair|450||25.03.2019|Monday|Tuesday
35|20.05.2019|PRG|10:50|FAO|18:55|9:05|823|PRG|10:50|FAO|11:45|easyJet|432|5|SEN|16:10|FAO|18:55|Ryanair|390||25.03.2019|Monday|Monday
36|01.05.2019|PRG|06:35|FAO|17:55|12:20|1295|PRG|06:35|FAO|07:35|Ryanair|845||STN|15:00|FAO|17:55|Ryanair|450|1|25.03.2019|Monday|Wednesday
37|04.05.2019|PRG|16:20|FAO|22:10|6:50|1295|PRG|16:20|FAO|17:10|Ryanair|845|5|STN|19:15|FAO|22:10|Ryanair|450||25.03.2019|Monday|Saturday
38|01.05.2019|PRG|06:35|FAO|20:55|15:20|1295|PRG|06:35|FAO|07:35|Ryanair|845||STN|18:00|FAO|20:55|Ryanair|450|2|25.03.2019|Monday|Wednesday
39|15.05.2019|PRG|15:05|FAO|20:55|6:50|852|PRG|15:05|FAO|15:55|easyJet|402|8|STN|18:00|FAO|20:55|Ryanair|450||25.03.2019|Monday|Wednesday
40|05.06.2019|PRG|10:50|FAO|19:50|10:00|853|PRG|10:50|FAO|11:45|easyJet|463|8|SEN|17:05|FAO|19:50|Ryanair|390|3|25.03.2019|Monday|Wednesday
41|12.05.2019|PRG|06:35|FAO|13:45|8:10|1316|PRG|06:35|FAO|07:35|Ryanair|866||STN|10:50|FAO|13:45|Ryanair|450||25.03.2019|Monday|Sunday
42|11.05.2019|PRG|16:20|FAO|22:10|6:50|1316|PRG|16:20|FAO|17:10|Ryanair|866|5|STN|19:15|FAO|22:10|Ryanair|450|5|25.03.2019|Monday|Saturday
43|09.05.2019|PRG|17:10|FAO|22:10|6:00|1320|PRG|17:10|FAO|18:10|Ryanair|389|5|STN|19:15|FAO|22:10|Ryanair|931|5|25.03.2019|Monday|Thursday
44|13.05.2019|PRG|06:15|FAO|18:15|13:00|1330|PRG|06:15|FAO|07:50|Ryanair|815||CRL|16:20|FAO|18:15|Ryanair|515||25.03.2019|Monday|Monday
45|08.05.2019|PRG|08:55|FAO|15:50|7:55|1348|PRG|08:55|FAO|10:30|Ryanair|676|5|CRL|13:55|FAO|15:50|Ryanair|672|1|25.03.2019|Monday|Wednesday
46|20.05.2019|PRG|06:15|FAO|18:15|13:00|1348|PRG|06:15|FAO|07:50|Ryanair|676||CRL|16:20|FAO|18:15|Ryanair|672||25.03.2019|Monday|Monday
47|07.06.2019|PRG|14:15|FAO|20:10|6:55|1349|PRG|14:15|FAO|15:25|Ryanair|599||LPL|17:15|FAO|20:10|Ryanair|750||25.03.2019|Monday|Friday
48|16.05.2019|PRG|06:15|FAO|15:50|10:35|1356|PRG|06:15|FAO|07:50|Ryanair|389||CRL|13:55|FAO|15:50|Ryanair|967|5|25.03.2019|Monday|Thursday
49|19.06.2019|PRG|10:50|FAO|19:50|10:00|944|PRG|10:50|FAO|11:45|easyJet|554|8|SEN|17:05|FAO|19:50|Ryanair|390||25.03.2019|Monday|Wednesday
50|13.05.2019|PRG|10:50|FAO|18:55|9:05|944|PRG|10:50|FAO|11:45|easyJet|554|4|SEN|16:10|FAO|18:55|Ryanair|390||25.03.2019|Monday|Monday
51|17.06.2019|PRG|10:50|FAO|18:55|9:05|1004|PRG|10:50|FAO|11:45|easyJet|614|2|SEN|16:10|FAO|18:55|Ryanair|390||25.03.2019|Monday|Monday
52|29.04.2019|PRG|10:50|FAO|18:55|9:05|1004|PRG|10:50|FAO|11:45|easyJet|614|2|SEN|16:10|FAO|18:55|Ryanair|390||25.03.2019|Monday|Monday
53|10.05.2019|PRG|10:50|FAO|18:55|9:05|1095|PRG|10:50|FAO|11:45|easyJet|705|6|SEN|16:10|FAO|18:55|Ryanair|390|1|25.03.2019|Monday|Friday
54|01.05.2019|PRG|10:50|FAO|19:50|10:00|1095|PRG|10:50|FAO|11:45|easyJet|705|6|SEN|17:05|FAO|19:50|Ryanair|390|5|25.03.2019|Monday|Wednesday
55|26.04.2019|PRG|15:05|FAO|20:10|6:05|1156|PRG|15:05|FAO|15:55|easyJet|766|8|STN|17:15|FAO|20:10|Ryanair|390|3|25.03.2019|Monday|Friday
56|08.06.2019|PRG|15:10|FAO|22:10|8:00|1214|PRG|15:10|FAO|16:05|easyJet|523|4|STN|19:15|FAO|22:10|Ryanair|690||25.03.2019|Monday|Saturday
57|18.05.2019|PRG|15:10|FAO|22:10|8:00|1216|PRG|15:10|FAO|16:05|easyJet|766|3|STN|19:15|FAO|22:10|Ryanair|450|2|25.03.2019|Monday|Saturday
