uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
0|12.03.2019|PRG|11:35|FAO|21:35|11:00|723|PRG|11:35|FAO|13:00|Ryanair|338||EIN|19:30|FAO|21:35|Ryanair|384||25.02.2019|Monday|Tuesday
1|26.03.2019|PRG|11:35|FAO|21:35|11:00|723|PRG|11:35|FAO|13:00|Ryanair|338||EIN|19:30|FAO|21:35|Ryanair|384||25.02.2019|Monday|Tuesday
2|03.04.2019|PRG|11:40|FAO|20:55|10:15|881|PRG|11:40|FAO|12:40|Ryanair|438||STN|18:00|FAO|20:55|Ryanair|442||25.02.2019|Monday|Wednesday
3|03.04.2019|PRG|06:35|FAO|17:55|12:20|881|PRG|06:35|FAO|07:35|Ryanair|438||STN|15:00|FAO|17:55|Ryanair|442|5|25.02.2019|Monday|Wednesday
4|03.04.2019|PRG|06:35|FAO|20:55|15:20|881|PRG|06:35|FAO|07:35|Ryanair|438||STN|18:00|FAO|20:55|Ryanair|442||25.02.2019|Monday|Wednesday
5|03.04.2019|PRG|11:40|FAO|17:55|7:15|881|PRG|11:40|FAO|12:40|Ryanair|438||STN|15:00|FAO|17:55|Ryanair|442|5|25.02.2019|Monday|Wednesday
6|02.04.2019|PRG|06:35|FAO|18:55|13:20|881|PRG|06:35|FAO|07:35|Ryanair|438||STN|16:00|FAO|18:55|Ryanair|442||25.02.2019|Monday|Tuesday
7|11.05.2019|PRG|16:20|FAO|22:10|6:50|940|PRG|16:20|FAO|17:10|Ryanair|438||STN|19:15|FAO|22:10|Ryanair|501||25.02.2019|Monday|Saturday
8|11.05.2019|PRG|06:35|FAO|22:10|16:35|940|PRG|06:35|FAO|07:35|Ryanair|438|4|STN|19:15|FAO|22:10|Ryanair|501||25.02.2019|Monday|Saturday
9|14.05.2019|PRG|06:35|FAO|18:55|13:20|940|PRG|06:35|FAO|07:35|Ryanair|438||STN|16:00|FAO|18:55|Ryanair|501||25.02.2019|Monday|Tuesday
10|02.04.2019|PRG|16:15|FAO|22:25|7:10|951|PRG|16:15|FAO|17:20|Wizz Air|508||LTN|19:30|FAO|22:25|Ryanair|442||25.02.2019|Monday|Tuesday
11|15.05.2019|PRG|07:50|FAO|13:05|6:15|951|PRG|07:50|FAO|09:15|Ryanair|438||EIN|11:00|FAO|13:05|Ryanair|512||25.02.2019|Monday|Wednesday
12|16.05.2019|PRG|06:15|FAO|15:50|10:35|1002|PRG|06:15|FAO|07:50|Ryanair|438||CRL|13:55|FAO|15:50|Ryanair|563||25.02.2019|Monday|Thursday
13|15.05.2019|PRG|08:55|FAO|15:50|7:55|1002|PRG|08:55|FAO|10:30|Ryanair|438||CRL|13:55|FAO|15:50|Ryanair|563||25.02.2019|Monday|Wednesday
14|22.05.2019|PRG|08:55|FAO|15:50|7:55|1002|PRG|08:55|FAO|10:30|Ryanair|438||CRL|13:55|FAO|15:50|Ryanair|563|3|25.02.2019|Monday|Wednesday
15|11.05.2019|PRG|06:15|FAO|15:05|9:50|1002|PRG|06:15|FAO|07:50|Ryanair|438||CRL|13:10|FAO|15:05|Ryanair|563||25.02.2019|Monday|Saturday
16|14.05.2019|PRG|06:15|FAO|17:10|11:55|1002|PRG|06:15|FAO|07:50|Ryanair|438||CRL|15:15|FAO|17:10|Ryanair|563||25.02.2019|Monday|Tuesday
17|07.05.2019|PRG|06:15|FAO|17:10|11:55|1002|PRG|06:15|FAO|07:50|Ryanair|438|5|CRL|15:15|FAO|17:10|Ryanair|563||25.02.2019|Monday|Tuesday
18|21.05.2019|PRG|06:15|FAO|17:10|11:55|1002|PRG|06:15|FAO|07:50|Ryanair|438||CRL|15:15|FAO|17:10|Ryanair|563||25.02.2019|Monday|Tuesday
