uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
0|28.02.2020|PRG|11:55|FAO|20:15|9:20|1850|PRG|11:55|FAO|13:05|easyJet|964|2|LGW|17:25|FAO|20:15|easyJet|885|8|28.02.2020|Friday|Friday
1|28.02.2020|PRG|07:10|FAO|14:30|8:20|2302|PRG|07:10|FAO|09:00|Czech Airlines|1388||CDG|12:45|FAO|14:30|easyJet|913|8|28.02.2020|Friday|Friday
2|28.02.2020|PRG|07:10|FAO|11:50|5:40|3162|PRG|07:10|FAO|08:10|Ryanair|1596||STN|09:00|FAO|11:50|Jet2|1565||28.02.2020|Friday|Friday
3|28.02.2020|PRG|11:55|TOS|19:05|7:10|4363|PRG|11:55|TOS|13:05|easyJet|964|2|LGW|14:35|TOS|19:05|norwegian|3399||28.02.2020|Friday|Friday
4|28.02.2020|PRG|13:25|TOS|19:10|5:45|5016|PRG|13:25|TOS|15:25|norwegian|2088|112|OSL|17:15|TOS|19:10|norwegian|2927||28.02.2020|Friday|Friday
5|28.02.2020|PRG|13:25|TOS|21:25|8:00|5257|PRG|13:25|TOS|15:25|norwegian|2088|112|OSL|19:30|TOS|21:25|norwegian|3168||28.02.2020|Friday|Friday
6|28.02.2020|PRG|10:30|NCE|15:55|5:25|1305|PRG|10:30|NCE|11:25|easyJet|478|8|STN|12:50|NCE|15:55|Ryanair|826||28.02.2020|Friday|Friday
7|28.02.2020|PRG|12:25|NCE|20:20|7:55|1723|PRG|12:25|NCE|14:15|Czech Airlines|950||CDG|18:45|NCE|20:20|easyJet|773|3|28.02.2020|Friday|Friday
8|28.02.2020|PRG|06:55|NCE|18:20|11:25|1870|PRG|06:55|NCE|08:25|Czech Airlines|954||BRU|16:40|NCE|18:20|easyJet|915|8|28.02.2020|Friday|Friday
9|28.02.2020|PRG|06:55|NCE|22:50|15:55|1870|PRG|06:55|NCE|08:25|Czech Airlines|954||BRU|21:10|NCE|22:50|easyJet|915|8|28.02.2020|Friday|Friday
10|28.02.2020|PRG|12:20|NCE|17:10|4:50|1906|PRG|12:20|NCE|13:45|easyJet|753|5|BSL|15:55|NCE|17:10|easyJet|1152|8|28.02.2020|Friday|Friday
11|28.02.2020|PRG|07:00|NCE|13:35|6:35|2011|PRG|07:00|NCE|08:40|Czech Airlines|1388||AMS|11:35|NCE|13:35|easyJet|622|6|28.02.2020|Friday|Friday
12|28.02.2020|PRG|11:55|NCE|20:40|8:45|2145|PRG|11:55|NCE|13:05|easyJet|964|2|LGW|17:40|NCE|20:40|easyJet|1181|5|28.02.2020|Friday|Friday
13|28.02.2020|PRG|07:10|NCE|20:20|13:10|2162|PRG|07:10|NCE|09:00|Czech Airlines|1388||CDG|18:45|NCE|20:20|easyJet|773|3|28.02.2020|Friday|Friday
14|28.02.2020|PRG|07:00|NCE|20:40|13:40|2355|PRG|07:00|NCE|08:40|Czech Airlines|1388||AMS|18:45|NCE|20:40|Transavia|966|10|28.02.2020|Friday|Friday
15|28.02.2020|PRG|07:10|NCE|15:55|8:45|2423|PRG|07:10|NCE|08:10|Ryanair|1596||STN|12:50|NCE|15:55|Ryanair|826||28.02.2020|Friday|Friday
16|28.02.2020|PRG|15:35|NCE|21:15|5:40|2441|PRG|15:35|NCE|17:35|easyJet|1868|7|GVA|20:15|NCE|21:15|easyJet|572|6|28.02.2020|Friday|Friday
17|28.02.2020|PRG|13:05|NCE|20:40|7:35|2805|PRG|13:05|NCE|14:40|easyJet|1839|3|AMS|18:45|NCE|20:40|Transavia|966|10|28.02.2020|Friday|Friday
