uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
0|03.04.2019|PRG|06:35|NCE|21:20|14:45|731|PRG|06:35|NCE|07:35|Ryanair|339||STN|18:20|NCE|21:20|Ryanair|392||28.03.2019|Thursday|Wednesday
1|03.04.2019|PRG|11:40|NCE|21:20|9:40|731|PRG|11:40|NCE|12:40|Ryanair|339||STN|18:20|NCE|21:20|Ryanair|392||28.03.2019|Thursday|Wednesday
2|02.04.2019|PRG|06:35|NCE|17:00|10:25|731|PRG|06:35|NCE|07:35|Ryanair|339|1|STN|14:00|NCE|17:00|Ryanair|392|3|28.03.2019|Thursday|Tuesday
3|18.05.2019|PRG|06:35|NCE|21:00|14:25|792|PRG|06:35|NCE|07:35|Ryanair|339||STN|18:00|NCE|21:00|Ryanair|452||28.03.2019|Thursday|Saturday
4|14.05.2019|PRG|06:35|NCE|17:00|10:25|792|PRG|06:35|NCE|07:35|Ryanair|339||STN|14:00|NCE|17:00|Ryanair|452||28.03.2019|Thursday|Tuesday
5|15.05.2019|PRG|11:40|NCE|21:20|9:40|792|PRG|11:40|NCE|12:40|Ryanair|339|5|STN|18:20|NCE|21:20|Ryanair|452||28.03.2019|Thursday|Wednesday
6|15.05.2019|PRG|06:35|NCE|21:20|14:45|792|PRG|06:35|NCE|07:35|Ryanair|339||STN|18:20|NCE|21:20|Ryanair|452||28.03.2019|Thursday|Wednesday
7|19.05.2019|PRG|06:35|NCE|22:10|15:35|792|PRG|06:35|NCE|07:35|Ryanair|339|5|STN|19:10|NCE|22:10|Ryanair|452||28.03.2019|Thursday|Sunday
8|18.05.2019|PRG|16:20|NCE|21:00|4:40|792|PRG|16:20|NCE|17:10|Ryanair|339|1|STN|18:00|NCE|21:00|Ryanair|452||28.03.2019|Thursday|Saturday
9|21.05.2019|PRG|06:35|NCE|17:00|10:25|1028|PRG|06:35|NCE|07:35|Ryanair|339||STN|14:00|NCE|17:00|Ryanair|689||28.03.2019|Thursday|Tuesday
