uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
0|02.04.2019|PRG|06:35|FAO|18:55|13:20|886|PRG|06:35|FAO|07:35|Ryanair|439||STN|16:00|FAO|18:55|Ryanair|447||04.03.2019|Monday|Tuesday
1|14.05.2019|PRG|06:35|FAO|18:55|13:20|945|PRG|06:35|FAO|07:35|Ryanair|439||STN|16:00|FAO|18:55|Ryanair|506|4|04.03.2019|Monday|Tuesday
2|30.04.2019|PRG|16:15|FAO|22:25|7:10|956|PRG|16:15|FAO|17:20|Wizz Air|509||LTN|19:30|FAO|22:25|Ryanair|447||04.03.2019|Monday|Tuesday
3|14.05.2019|PRG|06:15|FAO|17:10|11:55|1002|PRG|06:15|FAO|07:50|Ryanair|439||CRL|15:15|FAO|17:10|Ryanair|563||04.03.2019|Monday|Tuesday
4|16.05.2019|PRG|06:15|FAO|15:50|10:35|1002|PRG|06:15|FAO|07:50|Ryanair|439||CRL|13:55|FAO|15:50|Ryanair|563|1|04.03.2019|Monday|Thursday
5|21.05.2019|PRG|06:15|FAO|17:10|11:55|1002|PRG|06:15|FAO|07:50|Ryanair|439||CRL|15:15|FAO|17:10|Ryanair|563|5|04.03.2019|Monday|Tuesday
6|09.05.2019|PRG|06:15|FAO|15:50|10:35|1002|PRG|06:15|FAO|07:50|Ryanair|439||CRL|13:55|FAO|15:50|Ryanair|563|5|04.03.2019|Monday|Thursday
7|15.05.2019|PRG|08:55|FAO|15:50|7:55|1002|PRG|08:55|FAO|10:30|Ryanair|439||CRL|13:55|FAO|15:50|Ryanair|563||04.03.2019|Monday|Wednesday
8|14.05.2019|PRG|16:15|FAO|22:25|7:10|1015|PRG|16:15|FAO|17:20|Wizz Air|509||LTN|19:30|FAO|22:25|Ryanair|506||04.03.2019|Monday|Tuesday
9|21.05.2019|PRG|16:15|FAO|22:25|7:10|1015|PRG|16:15|FAO|17:20|Wizz Air|509||LTN|19:30|FAO|22:25|Ryanair|506|1|04.03.2019|Monday|Tuesday
10|26.03.2019|PRG|11:35|FAO|21:35|11:00|1050|PRG|11:35|FAO|13:00|Ryanair|339||EIN|19:30|FAO|21:35|Ryanair|711||04.03.2019|Monday|Tuesday
11|02.04.2019|PRG|16:15|FAO|22:25|7:10|1076|PRG|16:15|FAO|17:20|Wizz Air|629||LTN|19:30|FAO|22:25|Ryanair|447||04.03.2019|Monday|Tuesday
12|11.05.2019|PRG|16:15|FAO|22:25|7:10|1105|PRG|16:15|FAO|17:20|Wizz Air|509|9|LTN|19:30|FAO|22:25|Ryanair|596||04.03.2019|Monday|Saturday
13|07.05.2019|PRG|06:15|FAO|17:10|11:55|1108|PRG|06:15|FAO|07:50|Ryanair|439|5|CRL|15:15|FAO|17:10|Ryanair|669||04.03.2019|Monday|Tuesday
14|22.05.2019|PRG|08:55|FAO|15:50|7:55|1108|PRG|08:55|FAO|10:30|Ryanair|439||CRL|13:55|FAO|15:50|Ryanair|669||04.03.2019|Monday|Wednesday
15|30.04.2019|PRG|06:35|FAO|18:55|13:20|1123|PRG|06:35|FAO|07:35|Ryanair|676||STN|16:00|FAO|18:55|Ryanair|447||04.03.2019|Monday|Tuesday
16|29.05.2019|PRG|06:35|FAO|20:55|15:20|1125|PRG|06:35|FAO|07:35|Ryanair|529|1|STN|18:00|FAO|20:55|Ryanair|596|2|04.03.2019|Monday|Wednesday
17|12.06.2019|PRG|06:35|FAO|20:55|15:20|1125|PRG|06:35|FAO|07:35|Ryanair|529||STN|18:00|FAO|20:55|Ryanair|596|2|04.03.2019|Monday|Wednesday
18|18.05.2019|PRG|16:20|FAO|22:10|6:50|1125|PRG|16:20|FAO|17:10|Ryanair|529||STN|19:15|FAO|22:10|Ryanair|596|4|04.03.2019|Monday|Saturday
19|12.06.2019|PRG|11:40|FAO|20:55|10:15|1125|PRG|11:40|FAO|12:40|Ryanair|529|4|STN|18:00|FAO|20:55|Ryanair|596|2|04.03.2019|Monday|Wednesday
20|18.05.2019|PRG|06:35|FAO|22:10|16:35|1125|PRG|06:35|FAO|07:35|Ryanair|529|4|STN|19:15|FAO|22:10|Ryanair|596|4|04.03.2019|Monday|Saturday
21|11.05.2019|PRG|06:35|FAO|22:10|16:35|1125|PRG|06:35|FAO|07:35|Ryanair|529|3|STN|19:15|FAO|22:10|Ryanair|596||04.03.2019|Monday|Saturday
22|19.03.2019|PRG|11:35|FAO|21:35|11:00|1145|PRG|11:35|FAO|13:00|Ryanair|761||EIN|19:30|FAO|21:35|Ryanair|384|3|04.03.2019|Monday|Tuesday
23|03.04.2019|PRG|07:50|FAO|13:05|6:15|1150|PRG|07:50|FAO|09:15|Ryanair|439||EIN|11:00|FAO|13:05|Ryanair|711||04.03.2019|Monday|Wednesday
24|15.05.2019|PRG|07:50|FAO|13:05|6:15|1150|PRG|07:50|FAO|09:15|Ryanair|439||EIN|11:00|FAO|13:05|Ryanair|711|5|04.03.2019|Monday|Wednesday
25|17.06.2019|PRG|06:15|FAO|18:15|13:00|1169|PRG|06:15|FAO|07:50|Ryanair|529||CRL|16:20|FAO|18:15|Ryanair|640|5|04.03.2019|Monday|Monday
26|25.06.2019|PRG|06:15|FAO|17:10|11:55|1169|PRG|06:15|FAO|07:50|Ryanair|529||CRL|15:15|FAO|17:10|Ryanair|640|1|04.03.2019|Monday|Tuesday
27|13.05.2019|PRG|06:15|FAO|18:15|13:00|1169|PRG|06:15|FAO|07:50|Ryanair|529||CRL|16:20|FAO|18:15|Ryanair|640|5|04.03.2019|Monday|Monday
28|19.06.2019|PRG|08:55|FAO|15:50|7:55|1169|PRG|08:55|FAO|10:30|Ryanair|529|3|CRL|13:55|FAO|15:50|Ryanair|640|4|04.03.2019|Monday|Wednesday
29|18.06.2019|PRG|06:15|FAO|17:10|11:55|1169|PRG|06:15|FAO|07:50|Ryanair|529|5|CRL|15:15|FAO|17:10|Ryanair|640||04.03.2019|Monday|Tuesday
30|14.06.2019|PRG|06:15|FAO|15:50|10:35|1169|PRG|06:15|FAO|07:50|Ryanair|529||CRL|13:55|FAO|15:50|Ryanair|640||04.03.2019|Monday|Friday
31|11.05.2019|PRG|06:15|FAO|15:05|9:50|1169|PRG|06:15|FAO|07:50|Ryanair|529||CRL|13:10|FAO|15:05|Ryanair|640|4|04.03.2019|Monday|Saturday
32|07.05.2019|PRG|06:35|FAO|18:55|13:20|1183|PRG|06:35|FAO|07:35|Ryanair|676||STN|16:00|FAO|18:55|Ryanair|506||04.03.2019|Monday|Tuesday
33|12.05.2019|PRG|06:05|FAO|15:50|10:45|1198|PRG|06:05|FAO|07:40|Ryanair|529|4|CRL|13:55|FAO|15:50|Ryanair|669||04.03.2019|Monday|Sunday
34|01.04.2019|PRG|06:35|FAO|18:00|12:25|1213|PRG|06:35|FAO|07:35|Ryanair|676||STN|15:05|FAO|18:00|Ryanair|536||04.03.2019|Monday|Monday
35|18.05.2019|PRG|16:15|FAO|22:25|7:10|1225|PRG|16:15|FAO|17:20|Wizz Air|629|4|LTN|19:30|FAO|22:25|Ryanair|596||04.03.2019|Monday|Saturday
36|04.05.2019|PRG|16:15|FAO|22:25|7:10|1225|PRG|16:15|FAO|17:20|Wizz Air|629|6|LTN|19:30|FAO|22:25|Ryanair|596|3|04.03.2019|Monday|Saturday
37|12.06.2019|PRG|07:50|FAO|13:05|6:15|1239|PRG|07:50|FAO|09:15|Ryanair|599|5|EIN|11:00|FAO|13:05|Ryanair|640||04.03.2019|Monday|Wednesday
38|19.06.2019|PRG|07:50|FAO|13:05|6:15|1239|PRG|07:50|FAO|09:15|Ryanair|599||EIN|11:00|FAO|13:05|Ryanair|640||04.03.2019|Monday|Wednesday
39|26.06.2019|PRG|07:50|FAO|13:05|6:15|1239|PRG|07:50|FAO|09:15|Ryanair|599||EIN|11:00|FAO|13:05|Ryanair|640||04.03.2019|Monday|Wednesday
40|05.06.2019|PRG|07:50|FAO|13:05|6:15|1239|PRG|07:50|FAO|09:15|Ryanair|599|2|EIN|11:00|FAO|13:05|Ryanair|640|5|04.03.2019|Monday|Wednesday
41|08.05.2019|PRG|08:55|FAO|15:50|7:55|1240|PRG|08:55|FAO|10:30|Ryanair|676|1|CRL|13:55|FAO|15:50|Ryanair|563||04.03.2019|Monday|Wednesday
42|03.04.2019|PRG|06:35|FAO|20:55|15:20|1242|PRG|06:35|FAO|07:35|Ryanair|439||STN|18:00|FAO|20:55|Ryanair|803||04.03.2019|Monday|Wednesday
43|03.04.2019|PRG|11:40|FAO|20:55|10:15|1242|PRG|11:40|FAO|12:40|Ryanair|439||STN|18:00|FAO|20:55|Ryanair|803||04.03.2019|Monday|Wednesday
44|21.05.2019|PRG|06:35|FAO|18:55|13:20|1242|PRG|06:35|FAO|07:35|Ryanair|439|4|STN|16:00|FAO|18:55|Ryanair|803|5|04.03.2019|Monday|Tuesday
45|15.05.2019|PRG|06:35|FAO|20:55|15:20|1242|PRG|06:35|FAO|07:35|Ryanair|439||STN|18:00|FAO|20:55|Ryanair|803||04.03.2019|Monday|Wednesday
46|03.04.2019|PRG|10:50|FAO|19:50|10:00|790|PRG|10:50|FAO|11:45|easyJet|402|8|SEN|17:05|FAO|19:50|Ryanair|387||04.03.2019|Monday|Wednesday
47|11.05.2019|PRG|16:20|FAO|22:10|6:50|1272|PRG|16:20|FAO|17:10|Ryanair|676|5|STN|19:15|FAO|22:10|Ryanair|596||04.03.2019|Monday|Saturday
48|13.05.2019|PRG|10:50|FAO|18:55|9:05|820|PRG|10:50|FAO|11:45|easyJet|433|7|SEN|16:10|FAO|18:55|Ryanair|387||04.03.2019|Monday|Monday
49|20.05.2019|PRG|10:50|FAO|18:55|9:05|820|PRG|10:50|FAO|11:45|easyJet|433|6|SEN|16:10|FAO|18:55|Ryanair|387||04.03.2019|Monday|Monday
50|20.06.2019|PRG|06:15|FAO|15:50|10:35|1282|PRG|06:15|FAO|07:50|Ryanair|529||CRL|13:55|FAO|15:50|Ryanair|753|1|04.03.2019|Monday|Thursday
51|25.06.2019|PRG|16:15|FAO|22:25|7:10|1285|PRG|16:15|FAO|17:20|Wizz Air|689|3|LTN|19:30|FAO|22:25|Ryanair|596||04.03.2019|Monday|Tuesday
52|01.05.2019|PRG|10:50|FAO|19:50|10:00|851|PRG|10:50|FAO|11:45|easyJet|463|1|SEN|17:05|FAO|19:50|Ryanair|387||04.03.2019|Monday|Wednesday
53|29.04.2019|PRG|10:50|FAO|18:55|9:05|1063|PRG|10:50|FAO|11:45|easyJet|675|6|SEN|16:10|FAO|18:55|Ryanair|387||04.03.2019|Monday|Monday
54|26.03.2019|PRG|11:35|FAO|18:15|7:40|1313|PRG|11:35|FAO|13:00|Ryanair|339||EIN|16:15|FAO|18:15|Transavia|974||04.03.2019|Monday|Tuesday
