uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
0|14.05.2019|PRG|16:15|FAO|22:25|7:10|658|PRG|16:15|FAO|17:20|Wizz Air|508||LTN|19:30|FAO|22:25|Ryanair|149||04.04.2019|Thursday|Tuesday
1|21.05.2019|PRG|16:15|FAO|22:25|7:10|658|PRG|16:15|FAO|17:20|Wizz Air|508||LTN|19:30|FAO|22:25|Ryanair|149|5|04.04.2019|Thursday|Tuesday
2|18.05.2019|PRG|16:15|FAO|22:25|7:10|957|PRG|16:15|FAO|17:20|Wizz Air|508||LTN|19:30|FAO|22:25|Ryanair|448||04.04.2019|Thursday|Saturday
3|29.05.2019|PRG|06:35|FAO|20:55|15:20|1024|PRG|06:35|FAO|07:35|Ryanair|486|5|STN|18:00|FAO|20:55|Ryanair|538|3|04.04.2019|Thursday|Wednesday
4|14.05.2019|PRG|06:35|FAO|18:55|13:20|1024|PRG|06:35|FAO|07:35|Ryanair|486|3|STN|16:00|FAO|18:55|Ryanair|538|5|04.04.2019|Thursday|Tuesday
5|15.05.2019|PRG|06:35|FAO|20:55|15:20|1024|PRG|06:35|FAO|07:35|Ryanair|486||STN|18:00|FAO|20:55|Ryanair|538||04.04.2019|Thursday|Wednesday
6|15.05.2019|PRG|11:40|FAO|20:55|10:15|1024|PRG|11:40|FAO|12:40|Ryanair|486||STN|18:00|FAO|20:55|Ryanair|538||04.04.2019|Thursday|Wednesday
7|18.05.2019|PRG|06:35|FAO|22:10|16:35|1024|PRG|06:35|FAO|07:35|Ryanair|486||STN|19:15|FAO|22:10|Ryanair|538||04.04.2019|Thursday|Saturday
8|09.05.2019|PRG|06:15|FAO|15:50|10:35|1075|PRG|06:15|FAO|07:50|Ryanair|486||CRL|13:55|FAO|15:50|Ryanair|589|3|04.04.2019|Thursday|Thursday
9|18.06.2019|PRG|06:15|FAO|17:50|12:35|1127|PRG|06:15|FAO|07:50|Ryanair|486||CRL|15:55|FAO|17:50|Ryanair|641||04.04.2019|Thursday|Tuesday
10|17.06.2019|PRG|06:15|FAO|18:15|13:00|1127|PRG|06:15|FAO|07:50|Ryanair|486|2|CRL|16:20|FAO|18:15|Ryanair|641||04.04.2019|Thursday|Monday
11|14.05.2019|PRG|06:15|FAO|17:50|12:35|1155|PRG|06:15|FAO|07:50|Ryanair|486||CRL|15:55|FAO|17:50|Ryanair|669||04.04.2019|Thursday|Tuesday
12|21.05.2019|PRG|06:15|FAO|17:50|12:35|1155|PRG|06:15|FAO|07:50|Ryanair|486||CRL|15:55|FAO|17:50|Ryanair|669||04.04.2019|Thursday|Tuesday
13|15.05.2019|PRG|08:55|FAO|15:50|7:55|1155|PRG|08:55|FAO|10:30|Ryanair|486||CRL|13:55|FAO|15:50|Ryanair|669||04.04.2019|Thursday|Wednesday
14|11.06.2019|PRG|16:15|FAO|22:25|7:10|1167|PRG|16:15|FAO|17:20|Wizz Air|629|5|LTN|19:30|FAO|22:25|Ryanair|538|4|04.04.2019|Thursday|Tuesday
15|04.06.2019|PRG|06:15|FAO|17:50|12:35|1170|PRG|06:15|FAO|07:50|Ryanair|528|4|CRL|15:55|FAO|17:50|Ryanair|641|3|04.04.2019|Thursday|Tuesday
16|15.05.2019|PRG|10:50|FAO|19:50|10:00|730|PRG|10:50|FAO|11:45|easyJet|342|8|SEN|17:05|FAO|19:50|Ryanair|388||04.04.2019|Thursday|Wednesday
