uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
0|14.05.2019|PRG|16:15|FAO|22:25|7:10|656|PRG|16:15|FAO|17:20|Wizz Air|509||LTN|19:30|FAO|22:25|Ryanair|147||09.04.2019|Tuesday|Tuesday
1|30.04.2019|PRG|06:35|FAO|18:55|13:20|723|PRG|06:35|FAO|07:35|Ryanair|338||STN|16:00|FAO|18:55|Ryanair|385|1|09.04.2019|Tuesday|Tuesday
2|11.05.2019|PRG|16:15|FAO|22:25|7:10|953|PRG|16:15|FAO|17:20|Wizz Air|509||LTN|19:30|FAO|22:25|Ryanair|444||09.04.2019|Tuesday|Saturday
3|18.05.2019|PRG|16:15|FAO|22:25|7:10|953|PRG|16:15|FAO|17:20|Wizz Air|509||LTN|19:30|FAO|22:25|Ryanair|444|1|09.04.2019|Tuesday|Saturday
4|01.05.2019|PRG|06:35|FAO|20:55|15:20|1019|PRG|06:35|FAO|07:35|Ryanair|486||STN|18:00|FAO|20:55|Ryanair|533||09.04.2019|Tuesday|Wednesday
5|11.05.2019|PRG|06:35|FAO|22:10|16:35|1019|PRG|06:35|FAO|07:35|Ryanair|486||STN|19:15|FAO|22:10|Ryanair|533||09.04.2019|Tuesday|Saturday
6|13.05.2019|PRG|06:35|FAO|18:00|12:25|1019|PRG|06:35|FAO|07:35|Ryanair|486||STN|15:05|FAO|18:00|Ryanair|533||09.04.2019|Tuesday|Monday
7|15.05.2019|PRG|06:35|FAO|20:55|15:20|1019|PRG|06:35|FAO|07:35|Ryanair|486||STN|18:00|FAO|20:55|Ryanair|533||09.04.2019|Tuesday|Wednesday
8|15.05.2019|PRG|11:40|FAO|20:55|10:15|1019|PRG|11:40|FAO|12:40|Ryanair|486||STN|18:00|FAO|20:55|Ryanair|533||09.04.2019|Tuesday|Wednesday
9|27.04.2019|PRG|06:35|FAO|22:10|16:35|1061|PRG|06:35|FAO|07:35|Ryanair|676|2|STN|19:15|FAO|22:10|Ryanair|385||09.04.2019|Tuesday|Saturday
10|21.05.2019|PRG|06:15|FAO|17:50|12:35|1075|PRG|06:15|FAO|07:50|Ryanair|486||CRL|15:55|FAO|17:50|Ryanair|589||09.04.2019|Tuesday|Tuesday
11|14.05.2019|PRG|06:15|FAO|17:50|12:35|1075|PRG|06:15|FAO|07:50|Ryanair|486||CRL|15:55|FAO|17:50|Ryanair|589|5|09.04.2019|Tuesday|Tuesday
12|15.05.2019|PRG|08:55|FAO|15:50|7:55|1075|PRG|08:55|FAO|10:30|Ryanair|486||CRL|13:55|FAO|15:50|Ryanair|589|1|09.04.2019|Tuesday|Wednesday
13|30.04.2019|PRG|06:35|FAO|11:35|6:00|1109|PRG|06:35|FAO|07:35|Ryanair|338||STN|08:40|FAO|11:35|Jet2|770||09.04.2019|Tuesday|Tuesday
14|04.06.2019|PRG|06:15|FAO|17:50|12:35|1126|PRG|06:15|FAO|07:50|Ryanair|486||CRL|15:55|FAO|17:50|Ryanair|640||09.04.2019|Tuesday|Tuesday
15|12.06.2019|PRG|08:55|FAO|15:50|7:55|1126|PRG|08:55|FAO|10:30|Ryanair|486||CRL|13:55|FAO|15:50|Ryanair|640|1|09.04.2019|Tuesday|Wednesday
16|13.06.2019|PRG|06:15|FAO|15:50|10:35|1126|PRG|06:15|FAO|07:50|Ryanair|486||CRL|13:55|FAO|15:50|Ryanair|640||09.04.2019|Tuesday|Thursday
17|16.05.2019|PRG|06:15|FAO|15:50|10:35|1155|PRG|06:15|FAO|07:50|Ryanair|486||CRL|13:55|FAO|15:50|Ryanair|669||09.04.2019|Tuesday|Thursday
18|09.05.2019|PRG|06:15|FAO|15:50|10:35|1155|PRG|06:15|FAO|07:50|Ryanair|486||CRL|13:55|FAO|15:50|Ryanair|669|2|09.04.2019|Tuesday|Thursday
19|18.06.2019|PRG|16:15|FAO|22:25|7:10|1162|PRG|16:15|FAO|17:20|Wizz Air|629|4|LTN|19:30|FAO|22:25|Ryanair|533||09.04.2019|Tuesday|Tuesday
20|04.06.2019|PRG|16:15|FAO|22:25|7:10|1162|PRG|16:15|FAO|17:20|Wizz Air|629|4|LTN|19:30|FAO|22:25|Ryanair|533||09.04.2019|Tuesday|Tuesday
21|19.06.2019|PRG|07:50|FAO|13:05|6:15|1169|PRG|07:50|FAO|09:15|Ryanair|529||EIN|11:00|FAO|13:05|Ryanair|640|1|09.04.2019|Tuesday|Wednesday
22|26.06.2019|PRG|07:50|FAO|13:05|6:15|1169|PRG|07:50|FAO|09:15|Ryanair|529||EIN|11:00|FAO|13:05|Ryanair|640||09.04.2019|Tuesday|Wednesday
23|15.05.2019|PRG|10:50|FAO|19:50|10:00|727|PRG|10:50|FAO|11:45|easyJet|342|8|SEN|17:05|FAO|19:50|Ryanair|385||09.04.2019|Tuesday|Wednesday
24|08.05.2019|PRG|06:35|FAO|20:55|15:20|1209|PRG|06:35|FAO|07:35|Ryanair|676|5|STN|18:00|FAO|20:55|Ryanair|533||09.04.2019|Tuesday|Wednesday
25|25.06.2019|PRG|06:35|FAO|18:55|13:20|1210|PRG|06:35|FAO|07:35|Ryanair|529||STN|16:00|FAO|18:55|Ryanair|681||09.04.2019|Tuesday|Tuesday
26|18.06.2019|PRG|06:35|FAO|18:55|13:20|1210|PRG|06:35|FAO|07:35|Ryanair|529||STN|16:00|FAO|18:55|Ryanair|681||09.04.2019|Tuesday|Tuesday
27|26.06.2019|PRG|06:35|FAO|20:55|15:20|1210|PRG|06:35|FAO|07:35|Ryanair|529|3|STN|18:00|FAO|20:55|Ryanair|681|2|09.04.2019|Tuesday|Wednesday
28|11.06.2019|PRG|06:35|FAO|18:55|13:20|1210|PRG|06:35|FAO|07:35|Ryanair|529||STN|16:00|FAO|18:55|Ryanair|681|4|09.04.2019|Tuesday|Tuesday
29|19.06.2019|PRG|06:35|FAO|20:55|15:20|1210|PRG|06:35|FAO|07:35|Ryanair|529|1|STN|18:00|FAO|20:55|Ryanair|681|2|09.04.2019|Tuesday|Wednesday
30|07.05.2019|PRG|06:15|FAO|17:50|12:35|1265|PRG|06:15|FAO|07:50|Ryanair|676|5|CRL|15:55|FAO|17:50|Ryanair|589||09.04.2019|Tuesday|Tuesday
31|15.05.2019|PRG|06:35|FAO|17:55|12:20|1284|PRG|06:35|FAO|07:35|Ryanair|486||STN|15:00|FAO|17:55|Ryanair|798|1|09.04.2019|Tuesday|Wednesday
32|14.05.2019|PRG|06:35|FAO|18:55|13:20|1284|PRG|06:35|FAO|07:35|Ryanair|486|4|STN|16:00|FAO|18:55|Ryanair|798||09.04.2019|Tuesday|Tuesday
33|21.05.2019|PRG|06:35|FAO|18:55|13:20|1284|PRG|06:35|FAO|07:35|Ryanair|486||STN|16:00|FAO|18:55|Ryanair|798||09.04.2019|Tuesday|Tuesday
34|15.05.2019|PRG|11:40|FAO|17:55|7:15|1284|PRG|11:40|FAO|12:40|Ryanair|486||STN|15:00|FAO|17:55|Ryanair|798|1|09.04.2019|Tuesday|Wednesday
35|25.04.2019|PRG|06:15|FAO|15:50|10:35|1300|PRG|06:15|FAO|07:50|Ryanair|338||CRL|13:55|FAO|15:50|Ryanair|962|2|09.04.2019|Tuesday|Thursday
36|26.06.2019|PRG|10:50|FAO|19:50|10:00|848|PRG|10:50|FAO|11:45|easyJet|463|6|SEN|17:05|FAO|19:50|Ryanair|385||09.04.2019|Tuesday|Wednesday
37|05.06.2019|PRG|10:50|FAO|19:50|10:00|848|PRG|10:50|FAO|11:45|easyJet|463|8|SEN|17:05|FAO|19:50|Ryanair|385||09.04.2019|Tuesday|Wednesday
38|19.06.2019|PRG|08:55|FAO|15:50|7:55|1322|PRG|08:55|FAO|10:30|Ryanair|486||CRL|13:55|FAO|15:50|Ryanair|836|3|09.04.2019|Tuesday|Wednesday
39|17.06.2019|PRG|06:15|FAO|18:15|13:00|1322|PRG|06:15|FAO|07:50|Ryanair|486|1|CRL|16:20|FAO|18:15|Ryanair|836|3|09.04.2019|Tuesday|Monday
40|18.06.2019|PRG|06:15|FAO|17:50|12:35|1322|PRG|06:15|FAO|07:50|Ryanair|486||CRL|15:55|FAO|17:50|Ryanair|836||09.04.2019|Tuesday|Tuesday
41|17.05.2019|PRG|06:15|FAO|15:50|10:35|1330|PRG|06:15|FAO|07:50|Ryanair|486||CRL|13:55|FAO|15:50|Ryanair|844||09.04.2019|Tuesday|Friday
42|10.05.2019|PRG|06:15|FAO|15:50|10:35|1330|PRG|06:15|FAO|07:50|Ryanair|486||CRL|13:55|FAO|15:50|Ryanair|844||09.04.2019|Tuesday|Friday
43|15.05.2019|PRG|07:50|FAO|13:05|6:15|1343|PRG|07:50|FAO|09:15|Ryanair|486||EIN|11:00|FAO|13:05|Ryanair|857|2|09.04.2019|Tuesday|Wednesday
44|08.05.2019|PRG|11:40|FAO|20:55|10:15|1348|PRG|11:40|FAO|12:40|Ryanair|815||STN|18:00|FAO|20:55|Ryanair|533||09.04.2019|Tuesday|Wednesday
45|07.05.2019|PRG|06:35|FAO|18:55|13:20|1348|PRG|06:35|FAO|07:35|Ryanair|815||STN|16:00|FAO|18:55|Ryanair|533|4|09.04.2019|Tuesday|Tuesday
46|01.05.2019|PRG|11:40|FAO|20:55|10:15|1379|PRG|11:40|FAO|12:40|Ryanair|845|3|STN|18:00|FAO|20:55|Ryanair|533||09.04.2019|Tuesday|Wednesday
47|29.05.2019|PRG|06:35|FAO|17:55|12:20|1379|PRG|06:35|FAO|07:35|Ryanair|845||STN|15:00|FAO|17:55|Ryanair|533|3|09.04.2019|Tuesday|Wednesday
48|29.05.2019|PRG|06:35|FAO|20:55|15:20|1379|PRG|06:35|FAO|07:35|Ryanair|845||STN|18:00|FAO|20:55|Ryanair|533||09.04.2019|Tuesday|Wednesday
49|15.05.2019|PRG|15:05|FAO|20:55|6:50|936|PRG|15:05|FAO|15:55|easyJet|402|8|STN|18:00|FAO|20:55|Ryanair|533||09.04.2019|Tuesday|Wednesday
50|19.06.2019|PRG|10:50|FAO|19:50|10:00|939|PRG|10:50|FAO|11:45|easyJet|554|6|SEN|17:05|FAO|19:50|Ryanair|385||09.04.2019|Tuesday|Wednesday
