date_of_departure,departure_airport,time_of_departure,arrival_airport,time_of_arrival,flight_duration,flight_fare,departure_airport_flight_1,time_of_departure_flight_1,arrival_airport_flight_1,time_of_arrival_flight_1,airlines_flight_1,flight_fare_flight_1,seats_for_lower_price_flight_1,departure_airport_flight_2,time_of_departure_flight_2,arrival_airport_flight_2,time_of_arrival_flight_2,airlines_flight_2,flight_fare_flight_2,seats_for_lower_price_flight_2
st 19.06.2019,PRG,07:50,FAO,13:05 Faro ,6:15 h / 1 přestup,1170 Kč,PRG,07:50,FAO,09:15 Eindhoven ,Ryanair,529 Kč,       ,EIN,st 11:00 Eindhoven ,FAO,13:05 Faro ,Ryanair,641 Kč,       
po 20.05.2019,PRG,06:15,FAO,18:15 Faro ,13:00 h / 1 přestup,1170 Kč,PRG,06:15,FAO,07:50 Brusel ,Ryanair,529 Kč,       ,Brusel (Charleroi) CRL,po 16:20 Brusel ,FAO,18:15 Faro ,Ryanair,641 Kč,       
út 21.05.2019,PRG,06:15,FAO,17:10 Faro ,11:55 h / 1 přestup,1170 Kč,PRG,06:15,FAO,07:50 Brusel ,Ryanair,529 Kč,       ,Brusel (Charleroi) CRL,út 15:15 Brusel ,FAO,17:10 Faro ,Ryanair,641 Kč,5       
čt 16.05.2019,PRG,06:15,FAO,15:50 Faro ,10:35 h / 1 přestup,1170 Kč,PRG,06:15,FAO,07:50 Brusel ,Ryanair,529 Kč,       ,Brusel (Charleroi) CRL,čt 13:55 Brusel ,FAO,15:50 Faro ,Ryanair,641 Kč,1       
st 19.06.2019,PRG,08:55,FAO,15:50 Faro ,7:55 h / 1 přestup,1170 Kč,PRG,08:55,FAO,10:30 Brusel ,Ryanair,529 Kč,3       ,Brusel (Charleroi) CRL,st 13:55 Brusel ,FAO,15:50 Faro ,Ryanair,641 Kč,2       
st 15.05.2019,PRG,08:55,FAO,15:50 Faro ,7:55 h / 1 přestup,1170 Kč,PRG,08:55,FAO,10:30 Brusel ,Ryanair,529 Kč,4       ,Brusel (Charleroi) CRL,st 13:55 Brusel ,FAO,15:50 Faro ,Ryanair,641 Kč,       
st 26.06.2019,PRG,07:50,FAO,13:05 Faro ,6:15 h / 1 přestup,1170 Kč,PRG,07:50,FAO,09:15 Eindhoven ,Ryanair,529 Kč,       ,EIN,st 11:00 Eindhoven ,FAO,13:05 Faro ,Ryanair,641 Kč,       
út 04.06.2019,PRG,06:15,FAO,17:10 Faro ,11:55 h / 1 přestup,1170 Kč,PRG,06:15,FAO,07:50 Brusel ,Ryanair,529 Kč,3       ,Brusel (Charleroi) CRL,út 15:15 Brusel ,FAO,17:10 Faro ,Ryanair,641 Kč,       
út 18.06.2019,PRG,06:15,FAO,17:10 Faro ,11:55 h / 1 přestup,1170 Kč,PRG,06:15,FAO,07:50 Brusel ,Ryanair,529 Kč,       ,Brusel (Charleroi) CRL,út 15:15 Brusel ,FAO,17:10 Faro ,Ryanair,641 Kč,5       
út 14.05.2019,PRG,06:15,FAO,17:10 Faro ,11:55 h / 1 přestup,1170 Kč,PRG,06:15,FAO,07:50 Brusel ,Ryanair,529 Kč,       ,Brusel (Charleroi) CRL,út 15:15 Brusel ,FAO,17:10 Faro ,Ryanair,641 Kč,       
út 07.05.2019,PRG,06:15,FAO,17:10 Faro ,11:55 h / 1 přestup,1170 Kč,PRG,06:15,FAO,07:50 Brusel ,Ryanair,529 Kč,       ,Brusel (Charleroi) CRL,út 15:15 Brusel ,FAO,17:10 Faro ,Ryanair,641 Kč,5       
st 12.06.2019,PRG,07:50,FAO,13:05 Faro ,6:15 h / 1 přestup,1170 Kč,PRG,07:50,FAO,09:15 Eindhoven ,Ryanair,529 Kč,       ,EIN,st 11:00 Eindhoven ,FAO,13:05 Faro ,Ryanair,641 Kč,       
st 22.05.2019,PRG,08:55,FAO,15:50 Faro ,7:55 h / 1 přestup,1170 Kč,PRG,08:55,FAO,10:30 Brusel ,Ryanair,529 Kč,4       ,Brusel (Charleroi) CRL,st 13:55 Brusel ,FAO,15:50 Faro ,Ryanair,641 Kč,       
čt 09.05.2019,PRG,06:15,FAO,15:50 Faro ,10:35 h / 1 přestup,1170 Kč,PRG,06:15,FAO,07:50 Brusel ,Ryanair,529 Kč,       ,Brusel (Charleroi) CRL,čt 13:55 Brusel ,FAO,15:50 Faro ,Ryanair,641 Kč,       
út 02.04.2019,PRG,06:35,FAO,18:55 Faro ,13:20 h / 1 přestup,1177 Kč,PRG,06:35,FAO,07:35 Londýn ,Ryanair,389 Kč,       ,Londýn (Stansted) STN,út 16:00 Londýn ,FAO,18:55 Faro ,Ryanair,788 Kč,       
st 03.04.2019,PRG,11:40,FAO,17:55 Faro ,7:15 h / 1 přestup,1177 Kč,PRG,11:40,FAO,12:40 Londýn ,Ryanair,389 Kč,       ,Londýn (Stansted) STN,st 15:00 Londýn ,FAO,17:55 Faro ,Ryanair,788 Kč,       
st 03.04.2019,PRG,11:40,FAO,20:55 Faro ,10:15 h / 1 přestup,1177 Kč,PRG,11:40,FAO,12:40 Londýn ,Ryanair,389 Kč,       ,Londýn (Stansted) STN,st 18:00 Londýn ,FAO,20:55 Faro ,Ryanair,788 Kč,       
st 03.04.2019,PRG,06:35,FAO,17:55 Faro ,12:20 h / 1 přestup,1177 Kč,PRG,06:35,FAO,07:35 Londýn ,Ryanair,389 Kč,       ,Londýn (Stansted) STN,st 15:00 Londýn ,FAO,17:55 Faro ,Ryanair,788 Kč,       
st 03.04.2019,PRG,06:35,FAO,20:55 Faro ,15:20 h / 1 přestup,1177 Kč,PRG,06:35,FAO,07:35 Londýn ,Ryanair,389 Kč,       ,Londýn (Stansted) STN,st 18:00 Londýn ,FAO,20:55 Faro ,Ryanair,788 Kč,       
čt 04.04.2019,PRG,06:35,FAO,22:10 Faro ,16:35 h / 1 přestup,1177 Kč,PRG,06:35,FAO,07:35 Londýn ,Ryanair,389 Kč,       ,Londýn (Stansted) STN,čt 19:15 Londýn ,FAO,22:10 Faro ,Ryanair,788 Kč,2       
so 30.03.2019,PRG,10:30,FAO,22:05 Faro ,12:35 h / 1 přestup,720 Kč,PRG,10:30,FAO,11:30 Londýn ,easyJet,281 Kč,8       ,Londýn (Stansted) STN,so 19:10 Londýn ,FAO,22:05 Faro ,Ryanair,439 Kč,5       
út 30.04.2019,PRG,06:15,FAO,17:10 Faro ,11:55 h / 1 přestup,1199 Kč,PRG,06:15,FAO,07:50 Brusel ,Ryanair,529 Kč,2       ,Brusel (Charleroi) CRL,út 15:15 Brusel ,FAO,17:10 Faro ,Ryanair,670 Kč,       
st 29.05.2019,PRG,06:35,FAO,20:55 Faro ,15:20 h / 1 přestup,1202 Kč,PRG,06:35,FAO,07:35 Londýn ,Ryanair,529 Kč,       ,Londýn (Stansted) STN,st 18:00 Londýn ,FAO,20:55 Faro ,Ryanair,673 Kč,5       
st 15.05.2019,PRG,11:40,FAO,17:55 Faro ,7:15 h / 1 přestup,1202 Kč,PRG,11:40,FAO,12:40 Londýn ,Ryanair,529 Kč,1       ,Londýn (Stansted) STN,st 15:00 Londýn ,FAO,17:55 Faro ,Ryanair,673 Kč,       
st 15.05.2019,PRG,06:35,FAO,17:55 Faro ,12:20 h / 1 přestup,1202 Kč,PRG,06:35,FAO,07:35 Londýn ,Ryanair,529 Kč,       ,Londýn (Stansted) STN,st 15:00 Londýn ,FAO,17:55 Faro ,Ryanair,673 Kč,       
út 30.04.2019,PRG,06:35,FAO,18:55 Faro ,13:20 h / 1 přestup,1203 Kč,PRG,06:35,FAO,07:35 Londýn ,Ryanair,676 Kč,       ,Londýn (Stansted) STN,út 16:00 Londýn ,FAO,18:55 Faro ,Ryanair,527 Kč,       
so 04.05.2019,PRG,16:15,FAO,22:25 Faro ,7:10 h / 1 přestup,1214 Kč,PRG,16:15,FAO,17:20 Londýn ,Wizz Air,628 Kč,4       ,Londýn (Luton) LTN,so 19:30 Londýn ,FAO,22:25 Faro ,Ryanair,585 Kč,       
út 02.04.2019,PRG,15:25,FAO,22:30 Faro ,8:05 h / 1 přestup,1220 Kč,PRG,15:25,FAO,16:55 Dublin ,Ryanair,578 Kč,       ,DUB,út 19:35 Dublin ,FAO,22:30 Faro ,Ryanair,641 Kč,       
st 15.05.2019,PRG,07:50,FAO,13:05 Faro ,6:15 h / 1 přestup,1241 Kč,PRG,07:50,FAO,09:15 Eindhoven ,Ryanair,529 Kč,       ,EIN,st 11:00 Eindhoven ,FAO,13:05 Faro ,Ryanair,712 Kč,       
po 01.04.2019,PRG,06:35,FAO,18:00 Faro ,12:25 h / 1 přestup,1254 Kč,PRG,06:35,FAO,07:35 Londýn ,Ryanair,815 Kč,       ,Londýn (Stansted) STN,po 15:05 Londýn ,FAO,18:00 Faro ,Ryanair,439 Kč,       
út 02.04.2019,PRG,16:15,FAO,22:25 Faro ,7:10 h / 1 přestup,1297 Kč,PRG,16:15,FAO,17:20 Londýn ,Wizz Air,509 Kč,       ,Londýn (Luton) LTN,út 19:30 Londýn ,FAO,22:25 Faro ,Ryanair,788 Kč,       
út 09.04.2019,PRG,16:15,FAO,22:25 Faro ,7:10 h / 1 přestup,1297 Kč,PRG,16:15,FAO,17:20 Londýn ,Wizz Air,509 Kč,6       ,Londýn (Luton) LTN,út 19:30 Londýn ,FAO,22:25 Faro ,Ryanair,788 Kč,       
st 03.04.2019,PRG,10:50,FAO,19:50 Faro ,10:00 h / 1 přestup,843 Kč,PRG,10:50,FAO,11:45 Londýn ,easyJet,463 Kč,8       ,Londýn (Southend) SEN,st 17:05 Londýn ,FAO,19:50 Faro ,Ryanair,380 Kč,       
út 19.03.2019,PRG,11:35,FAO,18:15 Faro ,7:40 h / 1 přestup,1160 Kč,PRG,11:35,FAO,13:00 Eindhoven ,Ryanair,339 Kč,       ,EIN,út 16:15 Eindhoven ,FAO,18:15 Faro ,Transavia,821 Kč,       
po 20.05.2019,PRG,10:50,FAO,18:55 Faro ,9:05 h / 1 přestup,1020 Kč,PRG,10:50,FAO,11:45 Londýn ,easyJet,493 Kč,5       ,Londýn (Southend) SEN,po 16:10 Londýn ,FAO,18:55 Faro ,Ryanair,527 Kč,       
st 29.05.2019,PRG,10:50,FAO,19:50 Faro ,10:00 h / 1 přestup,1020 Kč,PRG,10:50,FAO,11:45 Londýn ,easyJet,493 Kč,5       ,Londýn (Southend) SEN,st 17:05 Londýn ,FAO,19:50 Faro ,Ryanair,527 Kč,       
út 12.03.2019,PRG,11:35,FAO,18:15 Faro ,7:40 h / 1 přestup,1237 Kč,PRG,11:35,FAO,13:00 Eindhoven ,Ryanair,339 Kč,       ,EIN,út 16:15 Eindhoven ,FAO,18:15 Faro ,Transavia,898 Kč,       
st 12.06.2019,PRG,15:05,FAO,20:55 Faro ,6:50 h / 1 přestup,1109 Kč,PRG,15:05,FAO,15:55 Londýn ,easyJet,523 Kč,8       ,Londýn (Stansted) STN,st 18:00 Londýn ,FAO,20:55 Faro ,Ryanair,585 Kč,       
st 03.04.2019,PRG,15:05,FAO,20:55 Faro ,6:50 h / 1 přestup,1130 Kč,PRG,15:05,FAO,15:55 Londýn ,easyJet,342 Kč,8       ,Londýn (Stansted) STN,st 18:00 Londýn ,FAO,20:55 Faro ,Ryanair,788 Kč,       
so 11.05.2019,PRG,15:10,FAO,22:10 Faro ,8:00 h / 1 přestup,1136 Kč,PRG,15:10,FAO,16:05 Londýn ,easyJet,463 Kč,8       ,Londýn (Stansted) STN,so 19:15 Londýn ,FAO,22:10 Faro ,Ryanair,673 Kč,       
