uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
0|14.05.2019|PRG|06:35|FAO|18:55|13:20|834|PRG|06:35|FAO|07:35|Ryanair|389||STN|16:00|FAO|18:55|Ryanair|445|1|10.03.2019|Sunday|Tuesday
1|21.05.2019|PRG|06:15|FAO|17:10|11:55|901|PRG|06:15|FAO|07:50|Ryanair|389||CRL|15:15|FAO|17:10|Ryanair|512||10.03.2019|Sunday|Tuesday
2|09.05.2019|PRG|06:15|FAO|15:50|10:35|901|PRG|06:15|FAO|07:50|Ryanair|389||CRL|13:55|FAO|15:50|Ryanair|512|3|10.03.2019|Sunday|Thursday
3|15.05.2019|PRG|08:55|FAO|15:50|7:55|901|PRG|08:55|FAO|10:30|Ryanair|389||CRL|13:55|FAO|15:50|Ryanair|512|5|10.03.2019|Sunday|Wednesday
4|07.05.2019|PRG|06:15|FAO|17:10|11:55|901|PRG|06:15|FAO|07:50|Ryanair|389|5|CRL|15:15|FAO|17:10|Ryanair|512|4|10.03.2019|Sunday|Tuesday
5|14.05.2019|PRG|06:15|FAO|17:10|11:55|901|PRG|06:15|FAO|07:50|Ryanair|389||CRL|15:15|FAO|17:10|Ryanair|512||10.03.2019|Sunday|Tuesday
6|22.05.2019|PRG|08:55|FAO|15:50|7:55|901|PRG|08:55|FAO|10:30|Ryanair|389||CRL|13:55|FAO|15:50|Ryanair|512||10.03.2019|Sunday|Wednesday
7|21.05.2019|PRG|16:15|FAO|22:25|7:10|954|PRG|16:15|FAO|17:20|Wizz Air|509||LTN|19:30|FAO|22:25|Ryanair|445|1|10.03.2019|Sunday|Tuesday
8|14.05.2019|PRG|16:15|FAO|22:25|7:10|954|PRG|16:15|FAO|17:20|Wizz Air|509||LTN|19:30|FAO|22:25|Ryanair|445||10.03.2019|Sunday|Tuesday
9|02.04.2019|PRG|16:15|FAO|22:25|7:10|1015|PRG|16:15|FAO|17:20|Wizz Air|629||LTN|19:30|FAO|22:25|Ryanair|385||10.03.2019|Sunday|Tuesday
10|30.04.2019|PRG|16:15|FAO|22:25|7:10|1015|PRG|16:15|FAO|17:20|Wizz Air|629|2|LTN|19:30|FAO|22:25|Ryanair|385||10.03.2019|Sunday|Tuesday
11|11.05.2019|PRG|16:15|FAO|22:25|7:10|1043|PRG|16:15|FAO|17:20|Wizz Air|509|8|LTN|19:30|FAO|22:25|Ryanair|534||10.03.2019|Sunday|Saturday
12|16.05.2019|PRG|06:15|FAO|15:50|10:35|1058|PRG|06:15|FAO|07:50|Ryanair|389||CRL|13:55|FAO|15:50|Ryanair|669||10.03.2019|Sunday|Thursday
13|30.04.2019|PRG|06:35|FAO|18:55|13:20|1062|PRG|06:35|FAO|07:35|Ryanair|676||STN|16:00|FAO|18:55|Ryanair|385||10.03.2019|Sunday|Tuesday
14|13.05.2019|PRG|06:15|FAO|18:15|13:00|1075|PRG|06:15|FAO|07:50|Ryanair|486||CRL|16:20|FAO|18:15|Ryanair|589|5|10.03.2019|Sunday|Monday
15|29.04.2019|PRG|06:15|FAO|18:15|13:00|1155|PRG|06:15|FAO|07:50|Ryanair|486|1|CRL|16:20|FAO|18:15|Ryanair|669||10.03.2019|Sunday|Monday
