uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
0|12.03.2019|PRG|11:35|FAO|21:35|11:00|725|PRG|11:35|FAO|13:00|Ryanair|338||EIN|19:30|FAO|21:35|Ryanair|386||10.02.2019|Sunday|Tuesday
1|30.04.2019|PRG|06:35|FAO|18:55|13:20|880|PRG|06:35|FAO|07:35|Ryanair|439|2|STN|16:00|FAO|18:55|Ryanair|441||10.02.2019|Sunday|Tuesday
2|03.04.2019|PRG|06:35|FAO|17:55|12:20|880|PRG|06:35|FAO|07:35|Ryanair|439||STN|15:00|FAO|17:55|Ryanair|441||10.02.2019|Sunday|Wednesday
3|03.04.2019|PRG|11:40|FAO|17:55|7:15|880|PRG|11:40|FAO|12:40|Ryanair|439||STN|15:00|FAO|17:55|Ryanair|441||10.02.2019|Sunday|Wednesday
4|02.04.2019|PRG|16:15|FAO|22:25|7:10|950|PRG|16:15|FAO|17:20|Wizz Air|508||LTN|19:30|FAO|22:25|Ryanair|441||10.02.2019|Sunday|Tuesday
5|15.05.2019|PRG|07:50|FAO|13:05|6:15|954|PRG|07:50|FAO|09:15|Ryanair|439||EIN|11:00|FAO|13:05|Ryanair|515|3|10.02.2019|Sunday|Wednesday
6|14.05.2019|PRG|06:15|FAO|17:10|11:55|1006|PRG|06:15|FAO|07:50|Ryanair|439||CRL|15:15|FAO|17:10|Ryanair|567||10.02.2019|Sunday|Tuesday
7|09.05.2019|PRG|06:15|FAO|15:50|10:35|1006|PRG|06:15|FAO|07:50|Ryanair|439||CRL|13:55|FAO|15:50|Ryanair|567|1|10.02.2019|Sunday|Thursday
8|15.05.2019|PRG|08:55|FAO|15:50|7:55|1006|PRG|08:55|FAO|10:30|Ryanair|439|4|CRL|13:55|FAO|15:50|Ryanair|567||10.02.2019|Sunday|Wednesday
9|07.05.2019|PRG|06:15|FAO|17:10|11:55|1006|PRG|06:15|FAO|07:50|Ryanair|439||CRL|15:15|FAO|17:10|Ryanair|567|3|10.02.2019|Sunday|Tuesday
10|21.05.2019|PRG|06:15|FAO|17:10|11:55|1006|PRG|06:15|FAO|07:50|Ryanair|439||CRL|15:15|FAO|17:10|Ryanair|567||10.02.2019|Sunday|Tuesday
11|26.03.2019|PRG|11:35|FAO|21:35|11:00|1054|PRG|11:35|FAO|13:00|Ryanair|338||EIN|19:30|FAO|21:35|Ryanair|715||10.02.2019|Sunday|Tuesday
12|19.03.2019|PRG|11:35|FAO|21:35|11:00|1054|PRG|11:35|FAO|13:00|Ryanair|338||EIN|19:30|FAO|21:35|Ryanair|715||10.02.2019|Sunday|Tuesday
13|30.04.2019|PRG|06:15|FAO|17:10|11:55|1112|PRG|06:15|FAO|07:50|Ryanair|439|2|CRL|15:15|FAO|17:10|Ryanair|673|2|10.02.2019|Sunday|Tuesday
14|19.03.2019|PRG|07:20|FAO|22:05|15:45|1118|PRG|07:20|FAO|08:30|Ryanair|676|4|STN|19:10|FAO|22:05|Ryanair|441||10.02.2019|Sunday|Tuesday
15|29.05.2019|PRG|06:35|FAO|20:55|15:20|1118|PRG|06:35|FAO|07:35|Ryanair|529||STN|18:00|FAO|20:55|Ryanair|589||10.02.2019|Sunday|Wednesday
16|03.04.2019|PRG|07:50|FAO|13:05|6:15|1154|PRG|07:50|FAO|09:15|Ryanair|439||EIN|11:00|FAO|13:05|Ryanair|715|4|10.02.2019|Sunday|Wednesday
17|03.05.2019|PRG|06:15|FAO|15:50|10:35|1173|PRG|06:15|FAO|07:50|Ryanair|529||CRL|13:55|FAO|15:50|Ryanair|644||10.02.2019|Sunday|Friday
18|18.06.2019|PRG|06:15|FAO|17:10|11:55|1173|PRG|06:15|FAO|07:50|Ryanair|529||CRL|15:15|FAO|17:10|Ryanair|644||10.02.2019|Sunday|Tuesday
19|20.05.2019|PRG|06:15|FAO|18:15|13:00|1173|PRG|06:15|FAO|07:50|Ryanair|529||CRL|16:20|FAO|18:15|Ryanair|644||10.02.2019|Sunday|Monday
20|19.05.2019|PRG|06:05|FAO|15:50|10:45|1202|PRG|06:05|FAO|07:40|Ryanair|529|2|CRL|13:55|FAO|15:50|Ryanair|673|3|10.02.2019|Sunday|Sunday
21|30.03.2019|PRG|07:20|FAO|22:05|15:45|1206|PRG|07:20|FAO|08:30|Ryanair|676|4|STN|19:10|FAO|22:05|Ryanair|530|3|10.02.2019|Sunday|Saturday
22|04.05.2019|PRG|16:15|FAO|22:25|7:10|1218|PRG|16:15|FAO|17:20|Wizz Air|628|5|LTN|19:30|FAO|22:25|Ryanair|589||10.02.2019|Sunday|Saturday
23|11.06.2019|PRG|16:15|FAO|22:25|7:10|1218|PRG|16:15|FAO|17:20|Wizz Air|628|5|LTN|19:30|FAO|22:25|Ryanair|589|5|10.02.2019|Sunday|Tuesday
24|03.04.2019|PRG|11:40|FAO|20:55|10:15|1232|PRG|11:40|FAO|12:40|Ryanair|439||STN|18:00|FAO|20:55|Ryanair|793||10.02.2019|Sunday|Wednesday
25|14.05.2019|PRG|06:35|FAO|18:55|13:20|1232|PRG|06:35|FAO|07:35|Ryanair|439|4|STN|16:00|FAO|18:55|Ryanair|793||10.02.2019|Sunday|Tuesday
26|02.04.2019|PRG|06:35|FAO|18:55|13:20|1232|PRG|06:35|FAO|07:35|Ryanair|439||STN|16:00|FAO|18:55|Ryanair|793||10.02.2019|Sunday|Tuesday
27|03.04.2019|PRG|06:35|FAO|20:55|15:20|1232|PRG|06:35|FAO|07:35|Ryanair|439||STN|18:00|FAO|20:55|Ryanair|793||10.02.2019|Sunday|Wednesday
28|02.05.2019|PRG|06:15|FAO|15:50|10:35|1238|PRG|06:15|FAO|07:50|Ryanair|439|3|CRL|13:55|FAO|15:50|Ryanair|799||10.02.2019|Sunday|Thursday
29|02.04.2019|PRG|06:15|FAO|17:10|11:55|1238|PRG|06:15|FAO|07:50|Ryanair|439||CRL|15:15|FAO|17:10|Ryanair|799||10.02.2019|Sunday|Tuesday
30|16.05.2019|PRG|06:15|FAO|15:50|10:35|1238|PRG|06:15|FAO|07:50|Ryanair|439||CRL|13:55|FAO|15:50|Ryanair|799|2|10.02.2019|Sunday|Thursday
31|22.05.2019|PRG|08:55|FAO|15:50|7:55|1238|PRG|08:55|FAO|10:30|Ryanair|439|1|CRL|13:55|FAO|15:50|Ryanair|799|1|10.02.2019|Sunday|Wednesday
32|12.06.2019|PRG|07:50|FAO|13:05|6:15|1243|PRG|07:50|FAO|09:15|Ryanair|599||EIN|11:00|FAO|13:05|Ryanair|644|5|10.02.2019|Sunday|Wednesday
33|26.06.2019|PRG|07:50|FAO|13:05|6:15|1243|PRG|07:50|FAO|09:15|Ryanair|599||EIN|11:00|FAO|13:05|Ryanair|644|2|10.02.2019|Sunday|Wednesday
34|19.06.2019|PRG|07:50|FAO|13:05|6:15|1243|PRG|07:50|FAO|09:15|Ryanair|599||EIN|11:00|FAO|13:05|Ryanair|644||10.02.2019|Sunday|Wednesday
35|26.02.2019|PRG|11:35|FAO|21:35|11:00|1251|PRG|11:35|FAO|13:00|Ryanair|389||EIN|19:30|FAO|21:35|Ryanair|862|1|10.02.2019|Sunday|Tuesday
36|13.03.2019|PRG|07:20|FAO|22:05|15:45|1257|PRG|07:20|FAO|08:30|Ryanair|815|5|STN|19:10|FAO|22:05|Ryanair|441|1|10.02.2019|Sunday|Wednesday
37|24.04.2019|PRG|06:35|FAO|20:55|15:20|1257|PRG|06:35|FAO|07:35|Ryanair|815|2|STN|18:00|FAO|20:55|Ryanair|441||10.02.2019|Sunday|Wednesday
38|18.05.2019|PRG|06:35|FAO|22:10|16:35|1265|PRG|06:35|FAO|07:35|Ryanair|676|1|STN|19:15|FAO|22:10|Ryanair|589||10.02.2019|Sunday|Saturday
39|11.05.2019|PRG|16:20|FAO|22:10|6:50|1265|PRG|16:20|FAO|17:10|Ryanair|676||STN|19:15|FAO|22:10|Ryanair|589||10.02.2019|Sunday|Saturday
40|11.05.2019|PRG|06:35|FAO|22:10|16:35|1265|PRG|06:35|FAO|07:35|Ryanair|676|5|STN|19:15|FAO|22:10|Ryanair|589||10.02.2019|Sunday|Saturday
41|18.05.2019|PRG|16:20|FAO|22:10|6:50|1265|PRG|16:20|FAO|17:10|Ryanair|676|3|STN|19:15|FAO|22:10|Ryanair|589||10.02.2019|Sunday|Saturday
42|30.03.2019|PRG|10:30|FAO|22:05|12:35|811|PRG|10:30|FAO|11:30|easyJet|281|6|STN|19:10|FAO|22:05|Ryanair|530|3|10.02.2019|Sunday|Saturday
43|08.05.2019|PRG|07:50|FAO|13:05|6:15|1302|PRG|07:50|FAO|09:15|Ryanair|439|4|EIN|11:00|FAO|13:05|Ryanair|862|1|10.02.2019|Sunday|Wednesday
44|01.05.2019|PRG|07:50|FAO|13:05|6:15|1302|PRG|07:50|FAO|09:15|Ryanair|439||EIN|11:00|FAO|13:05|Ryanair|862|1|10.02.2019|Sunday|Wednesday
45|21.05.2019|PRG|16:15|FAO|22:25|7:10|1302|PRG|16:15|FAO|17:20|Wizz Air|508|5|LTN|19:30|FAO|22:25|Ryanair|793||10.02.2019|Sunday|Tuesday
46|09.04.2019|PRG|16:15|FAO|22:25|7:10|1302|PRG|16:15|FAO|17:20|Wizz Air|508|3|LTN|19:30|FAO|22:25|Ryanair|793|4|10.02.2019|Sunday|Tuesday
47|17.05.2019|PRG|06:15|FAO|15:50|10:35|1328|PRG|06:15|FAO|07:50|Ryanair|529||CRL|13:55|FAO|15:50|Ryanair|799||10.02.2019|Sunday|Friday
48|30.04.2019|PRG|16:15|FAO|22:25|7:10|1330|PRG|16:15|FAO|17:20|Wizz Air|888|2|LTN|19:30|FAO|22:25|Ryanair|441||10.02.2019|Sunday|Tuesday
49|25.03.2019|PRG|07:20|FAO|15:10|8:50|1345|PRG|07:20|FAO|08:30|Ryanair|815||STN|12:15|FAO|15:10|Ryanair|530|2|10.02.2019|Sunday|Monday
50|03.04.2019|PRG|10:50|FAO|19:50|10:00|905|PRG|10:50|FAO|11:45|easyJet|463|8|SEN|17:05|FAO|19:50|Ryanair|441||10.02.2019|Sunday|Wednesday
51|19.06.2019|PRG|08:55|FAO|15:50|7:55|1370|PRG|08:55|FAO|10:30|Ryanair|529|5|CRL|13:55|FAO|15:50|Ryanair|841|1|10.02.2019|Sunday|Wednesday
52|19.03.2019|PRG|11:35|FAO|18:15|7:40|1164|PRG|11:35|FAO|13:00|Ryanair|338||EIN|16:15|FAO|18:15|Transavia|825||10.02.2019|Sunday|Tuesday
53|20.05.2019|PRG|10:50|FAO|18:55|9:05|963|PRG|10:50|FAO|11:45|easyJet|432|6|SEN|16:10|FAO|18:55|Ryanair|530||10.02.2019|Sunday|Monday
54|01.05.2019|PRG|10:50|FAO|19:50|10:00|996|PRG|10:50|FAO|11:45|easyJet|554|6|SEN|17:05|FAO|19:50|Ryanair|441||10.02.2019|Sunday|Wednesday
55|12.03.2019|PRG|11:35|FAO|18:15|7:40|1241|PRG|11:35|FAO|13:00|Ryanair|338||EIN|16:15|FAO|18:15|Transavia|902||10.02.2019|Sunday|Tuesday
56|11.05.2019|PRG|15:10|FAO|22:10|8:00|1052|PRG|15:10|FAO|16:05|easyJet|463|6|STN|19:15|FAO|22:10|Ryanair|589||10.02.2019|Sunday|Saturday
57|15.05.2019|PRG|10:50|FAO|19:50|10:00|1074|PRG|10:50|FAO|11:45|easyJet|281|8|SEN|17:05|FAO|19:50|Ryanair|793||10.02.2019|Sunday|Wednesday
58|29.04.2019|PRG|10:50|FAO|18:55|9:05|1084|PRG|10:50|FAO|11:45|easyJet|554|1|SEN|16:10|FAO|18:55|Ryanair|530||10.02.2019|Sunday|Monday
59|03.04.2019|PRG|15:05|FAO|20:55|6:50|1135|PRG|15:05|FAO|15:55|easyJet|342|8|STN|18:00|FAO|20:55|Ryanair|793||10.02.2019|Sunday|Wednesday
60|02.04.2019|PRG|12:25|FAO|21:50|10:25|1180|PRG|12:25|FAO|13:35|easyJet|614|5|LGW|18:55|FAO|21:50|easyJet|566|8|10.02.2019|Sunday|Tuesday
61|18.05.2019|PRG|15:10|FAO|22:10|8:00|1264|PRG|15:10|FAO|16:05|easyJet|675|4|STN|19:15|FAO|22:10|Ryanair|589||10.02.2019|Sunday|Saturday
62|29.05.2019|PRG|10:50|FAO|19:50|10:00|1296|PRG|10:50|FAO|11:45|easyJet|766|4|SEN|17:05|FAO|19:50|Ryanair|530||10.02.2019|Sunday|Wednesday
63|02.04.2019|PRG|12:25|FAO|19:25|8:00|1299|PRG|12:25|FAO|13:35|easyJet|614|5|LGW|16:30|FAO|19:25|easyJet|685|8|10.02.2019|Sunday|Tuesday
64|22.08.2019|PRG|06:35|FAO|20:55|15:20|1118|PRG|06:35|FAO|07:35|Ryanair|529|1|STN|18:00|FAO|20:55|Ryanair|589|1|10.02.2019|Sunday|Thursday
65|15.09.2019|PRG|06:05|FAO|15:50|10:45|1121|PRG|06:05|FAO|07:40|Ryanair|529||CRL|13:55|FAO|15:50|Ryanair|592|4|10.02.2019|Sunday|Sunday
66|25.09.2019|PRG|08:55|FAO|15:50|7:55|1121|PRG|08:55|FAO|10:30|Ryanair|529||CRL|13:55|FAO|15:50|Ryanair|592|4|10.02.2019|Sunday|Wednesday
67|13.09.2019|PRG|06:15|FAO|15:50|10:35|1121|PRG|06:15|FAO|07:50|Ryanair|529||CRL|13:55|FAO|15:50|Ryanair|592|5|10.02.2019|Sunday|Friday
68|17.09.2019|PRG|06:15|FAO|17:10|11:55|1121|PRG|06:15|FAO|07:50|Ryanair|529||CRL|15:15|FAO|17:10|Ryanair|592||10.02.2019|Sunday|Tuesday
69|24.09.2019|PRG|06:15|FAO|17:10|11:55|1121|PRG|06:15|FAO|07:50|Ryanair|529||CRL|15:15|FAO|17:10|Ryanair|592||10.02.2019|Sunday|Tuesday
70|23.09.2019|PRG|06:15|FAO|18:15|13:00|1121|PRG|06:15|FAO|07:50|Ryanair|529||CRL|16:20|FAO|18:15|Ryanair|592||10.02.2019|Sunday|Monday
71|26.09.2019|PRG|06:15|FAO|15:50|10:35|1121|PRG|06:15|FAO|07:50|Ryanair|529||CRL|13:55|FAO|15:50|Ryanair|592|2|10.02.2019|Sunday|Thursday
72|28.08.2019|PRG|07:50|FAO|13:05|6:15|1173|PRG|07:50|FAO|09:15|Ryanair|529||EIN|11:00|FAO|13:05|Ryanair|644||10.02.2019|Sunday|Wednesday
