uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
0|15.05.2019|PRG|11:40|FAO|20:55|10:15|839|PRG|11:40|FAO|12:40|Ryanair|388||STN|18:00|FAO|20:55|Ryanair|450|4|16.03.2019|Saturday|Wednesday
1|15.05.2019|PRG|06:35|FAO|20:55|15:20|839|PRG|06:35|FAO|07:35|Ryanair|388||STN|18:00|FAO|20:55|Ryanair|450|4|16.03.2019|Saturday|Wednesday
2|13.05.2019|PRG|06:35|FAO|18:00|12:25|839|PRG|06:35|FAO|07:35|Ryanair|388|1|STN|15:05|FAO|18:00|Ryanair|450||16.03.2019|Saturday|Monday
3|14.05.2019|PRG|06:35|FAO|18:55|13:20|839|PRG|06:35|FAO|07:35|Ryanair|388||STN|16:00|FAO|18:55|Ryanair|450|2|16.03.2019|Saturday|Tuesday
4|08.05.2019|PRG|07:50|FAO|13:05|6:15|849|PRG|07:50|FAO|09:15|Ryanair|388||EIN|11:00|FAO|13:05|Ryanair|460||16.03.2019|Saturday|Wednesday
5|15.05.2019|PRG|07:50|FAO|13:05|6:15|849|PRG|07:50|FAO|09:15|Ryanair|388||EIN|11:00|FAO|13:05|Ryanair|460||16.03.2019|Saturday|Wednesday
6|15.05.2019|PRG|08:55|FAO|15:50|7:55|901|PRG|08:55|FAO|10:30|Ryanair|388||CRL|13:55|FAO|15:50|Ryanair|512||16.03.2019|Saturday|Wednesday
7|30.04.2019|PRG|06:15|FAO|17:50|12:35|901|PRG|06:15|FAO|07:50|Ryanair|388|1|CRL|15:55|FAO|17:50|Ryanair|512|4|16.03.2019|Saturday|Tuesday
8|03.04.2019|PRG|07:50|FAO|13:05|6:15|947|PRG|07:50|FAO|09:15|Ryanair|486||EIN|11:00|FAO|13:05|Ryanair|460|1|16.03.2019|Saturday|Wednesday
9|18.05.2019|PRG|16:15|FAO|22:25|7:10|959|PRG|16:15|FAO|17:20|Wizz Air|508||LTN|19:30|FAO|22:25|Ryanair|450|2|16.03.2019|Saturday|Saturday
10|14.05.2019|PRG|16:15|FAO|22:25|7:10|959|PRG|16:15|FAO|17:20|Wizz Air|508||LTN|19:30|FAO|22:25|Ryanair|450||16.03.2019|Saturday|Tuesday
11|02.04.2019|PRG|16:15|FAO|22:25|7:10|1019|PRG|16:15|FAO|17:20|Wizz Air|629||LTN|19:30|FAO|22:25|Ryanair|390||16.03.2019|Saturday|Tuesday
12|30.04.2019|PRG|16:15|FAO|22:25|7:10|1079|PRG|16:15|FAO|17:20|Wizz Air|689|2|LTN|19:30|FAO|22:25|Ryanair|390||16.03.2019|Saturday|Tuesday
13|11.05.2019|PRG|16:15|FAO|22:25|7:10|1080|PRG|16:15|FAO|17:20|Wizz Air|629|4|LTN|19:30|FAO|22:25|Ryanair|450||16.03.2019|Saturday|Saturday
14|07.05.2019|PRG|06:15|FAO|17:50|12:35|1141|PRG|06:15|FAO|07:50|Ryanair|388|4|CRL|15:55|FAO|17:50|Ryanair|752||16.03.2019|Saturday|Tuesday
