uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
0|26.03.2019|PRG|11:35|FAO|21:35|11:00|723|PRG|11:35|FAO|13:00|Ryanair|339||EIN|19:30|FAO|21:35|Ryanair|384|4|05.03.2019|Tuesday|Tuesday
1|02.04.2019|PRG|06:35|FAO|18:55|13:20|885|PRG|06:35|FAO|07:35|Ryanair|438||STN|16:00|FAO|18:55|Ryanair|446||05.03.2019|Tuesday|Tuesday
2|03.04.2019|PRG|07:50|FAO|13:05|6:15|951|PRG|07:50|FAO|09:15|Ryanair|438||EIN|11:00|FAO|13:05|Ryanair|512|2|05.03.2019|Tuesday|Wednesday
3|30.04.2019|PRG|16:15|FAO|22:25|7:10|955|PRG|16:15|FAO|17:20|Wizz Air|508||LTN|19:30|FAO|22:25|Ryanair|446||05.03.2019|Tuesday|Tuesday
4|21.05.2019|PRG|06:35|FAO|18:55|13:20|975|PRG|06:35|FAO|07:35|Ryanair|438|4|STN|16:00|FAO|18:55|Ryanair|536||05.03.2019|Tuesday|Tuesday
5|01.04.2019|PRG|06:35|FAO|18:00|12:25|975|PRG|06:35|FAO|07:35|Ryanair|528|3|STN|15:05|FAO|18:00|Ryanair|446||05.03.2019|Tuesday|Monday
6|29.04.2019|PRG|06:35|FAO|18:00|12:25|975|PRG|06:35|FAO|07:35|Ryanair|528|1|STN|15:05|FAO|18:00|Ryanair|446||05.03.2019|Tuesday|Monday
7|11.05.2019|PRG|16:20|FAO|22:10|6:50|1022|PRG|16:20|FAO|17:10|Ryanair|485|5|STN|19:15|FAO|22:10|Ryanair|536|5|05.03.2019|Tuesday|Saturday
8|05.05.2019|PRG|06:35|FAO|13:45|8:10|1022|PRG|06:35|FAO|07:35|Ryanair|485||STN|10:50|FAO|13:45|Ryanair|536||05.03.2019|Tuesday|Sunday
9|13.05.2019|PRG|06:35|FAO|18:00|12:25|1022|PRG|06:35|FAO|07:35|Ryanair|485|5|STN|15:05|FAO|18:00|Ryanair|536||05.03.2019|Tuesday|Monday
10|09.05.2019|PRG|06:35|FAO|22:10|16:35|1022|PRG|06:35|FAO|07:35|Ryanair|485|4|STN|19:15|FAO|22:10|Ryanair|536||05.03.2019|Tuesday|Thursday
11|14.05.2019|PRG|06:35|FAO|18:55|13:20|1022|PRG|06:35|FAO|07:35|Ryanair|485||STN|16:00|FAO|18:55|Ryanair|536|5|05.03.2019|Tuesday|Tuesday
12|09.05.2019|PRG|17:10|FAO|22:10|6:00|1022|PRG|17:10|FAO|18:10|Ryanair|485|5|STN|19:15|FAO|22:10|Ryanair|536||05.03.2019|Tuesday|Thursday
13|07.05.2019|PRG|06:35|FAO|18:55|13:20|1022|PRG|06:35|FAO|07:35|Ryanair|485||STN|16:00|FAO|18:55|Ryanair|536||05.03.2019|Tuesday|Tuesday
14|14.05.2019|PRG|16:15|FAO|22:25|7:10|1045|PRG|16:15|FAO|17:20|Wizz Air|508||LTN|19:30|FAO|22:25|Ryanair|536||05.03.2019|Tuesday|Tuesday
15|09.05.2019|PRG|06:15|FAO|15:50|10:35|1049|PRG|06:15|FAO|07:50|Ryanair|485||CRL|13:55|FAO|15:50|Ryanair|563|4|05.03.2019|Tuesday|Thursday
16|14.05.2019|PRG|06:15|FAO|17:10|11:55|1049|PRG|06:15|FAO|07:50|Ryanair|485||CRL|15:15|FAO|17:10|Ryanair|563||05.03.2019|Tuesday|Tuesday
17|15.05.2019|PRG|08:55|FAO|15:50|7:55|1049|PRG|08:55|FAO|10:30|Ryanair|485||CRL|13:55|FAO|15:50|Ryanair|563||05.03.2019|Tuesday|Wednesday
18|04.05.2019|PRG|16:20|FAO|22:10|6:50|1065|PRG|16:20|FAO|17:10|Ryanair|528|5|STN|19:15|FAO|22:10|Ryanair|536||05.03.2019|Tuesday|Saturday
19|29.05.2019|PRG|06:35|FAO|20:55|15:20|1065|PRG|06:35|FAO|07:35|Ryanair|528|1|STN|18:00|FAO|20:55|Ryanair|536|2|05.03.2019|Tuesday|Wednesday
20|21.05.2019|PRG|06:15|FAO|17:10|11:55|1074|PRG|06:15|FAO|07:50|Ryanair|485||CRL|15:15|FAO|17:10|Ryanair|588|3|05.03.2019|Tuesday|Tuesday
21|02.04.2019|PRG|16:15|FAO|22:25|7:10|1075|PRG|16:15|FAO|17:20|Wizz Air|628||LTN|19:30|FAO|22:25|Ryanair|446||05.03.2019|Tuesday|Tuesday
22|11.05.2019|PRG|16:15|FAO|22:25|7:10|1104|PRG|16:15|FAO|17:20|Wizz Air|508|8|LTN|19:30|FAO|22:25|Ryanair|595||05.03.2019|Tuesday|Saturday
23|30.04.2019|PRG|06:35|FAO|18:55|13:20|1123|PRG|06:35|FAO|07:35|Ryanair|676||STN|16:00|FAO|18:55|Ryanair|446||05.03.2019|Tuesday|Tuesday
24|13.05.2019|PRG|06:15|FAO|18:15|13:00|1126|PRG|06:15|FAO|07:50|Ryanair|485||CRL|16:20|FAO|18:15|Ryanair|640|5|05.03.2019|Tuesday|Monday
