uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
0|19.03.2019|PRG|11:35|FAO|21:35|11:00|723|PRG|11:35|FAO|13:00|Ryanair|338||EIN|19:30|FAO|21:35|Ryanair|384|1|22.02.2019|Friday|Tuesday
1|12.03.2019|PRG|11:35|FAO|21:35|11:00|723|PRG|11:35|FAO|13:00|Ryanair|338||EIN|19:30|FAO|21:35|Ryanair|384||22.02.2019|Friday|Tuesday
2|26.03.2019|PRG|11:35|FAO|21:35|11:00|723|PRG|11:35|FAO|13:00|Ryanair|338||EIN|19:30|FAO|21:35|Ryanair|384||22.02.2019|Friday|Tuesday
3|03.04.2019|PRG|06:35|FAO|17:55|12:20|880|PRG|06:35|FAO|07:35|Ryanair|438||STN|15:00|FAO|17:55|Ryanair|441||22.02.2019|Friday|Wednesday
4|02.04.2019|PRG|06:35|FAO|18:55|13:20|880|PRG|06:35|FAO|07:35|Ryanair|438||STN|16:00|FAO|18:55|Ryanair|441||22.02.2019|Friday|Tuesday
5|03.04.2019|PRG|11:40|FAO|20:55|10:15|880|PRG|11:40|FAO|12:40|Ryanair|438||STN|18:00|FAO|20:55|Ryanair|441||22.02.2019|Friday|Wednesday
6|03.04.2019|PRG|06:35|FAO|20:55|15:20|880|PRG|06:35|FAO|07:35|Ryanair|438||STN|18:00|FAO|20:55|Ryanair|441||22.02.2019|Friday|Wednesday
7|03.04.2019|PRG|11:40|FAO|17:55|7:15|880|PRG|11:40|FAO|12:40|Ryanair|438||STN|15:00|FAO|17:55|Ryanair|441||22.02.2019|Friday|Wednesday
8|02.04.2019|PRG|16:15|FAO|22:25|7:10|950|PRG|16:15|FAO|17:20|Wizz Air|508||LTN|19:30|FAO|22:25|Ryanair|441||22.02.2019|Friday|Tuesday
9|30.04.2019|PRG|16:15|FAO|22:25|7:10|950|PRG|16:15|FAO|17:20|Wizz Air|508|2|LTN|19:30|FAO|22:25|Ryanair|441||22.02.2019|Friday|Tuesday
10|15.05.2019|PRG|07:50|FAO|13:05|6:15|951|PRG|07:50|FAO|09:15|Ryanair|438||EIN|11:00|FAO|13:05|Ryanair|512||22.02.2019|Friday|Wednesday
11|22.05.2019|PRG|08:55|FAO|15:50|7:55|1002|PRG|08:55|FAO|10:30|Ryanair|438||CRL|13:55|FAO|15:50|Ryanair|563|2|22.02.2019|Friday|Wednesday
12|15.05.2019|PRG|08:55|FAO|15:50|7:55|1002|PRG|08:55|FAO|10:30|Ryanair|438||CRL|13:55|FAO|15:50|Ryanair|563|3|22.02.2019|Friday|Wednesday
13|09.05.2019|PRG|06:15|FAO|15:50|10:35|1002|PRG|06:15|FAO|07:50|Ryanair|438||CRL|13:55|FAO|15:50|Ryanair|563||22.02.2019|Friday|Thursday
14|14.05.2019|PRG|06:15|FAO|17:10|11:55|1002|PRG|06:15|FAO|07:50|Ryanair|438||CRL|15:15|FAO|17:10|Ryanair|563||22.02.2019|Friday|Tuesday
15|07.05.2019|PRG|06:15|FAO|17:10|11:55|1002|PRG|06:15|FAO|07:50|Ryanair|438||CRL|15:15|FAO|17:10|Ryanair|563|1|22.02.2019|Friday|Tuesday
16|16.05.2019|PRG|06:15|FAO|15:50|10:35|1002|PRG|06:15|FAO|07:50|Ryanair|438||CRL|13:55|FAO|15:50|Ryanair|563|3|22.02.2019|Friday|Thursday
17|14.05.2019|PRG|16:15|FAO|22:25|7:10|1009|PRG|16:15|FAO|17:20|Wizz Air|508||LTN|19:30|FAO|22:25|Ryanair|500||22.02.2019|Friday|Tuesday
18|21.05.2019|PRG|16:15|FAO|22:25|7:10|1009|PRG|16:15|FAO|17:20|Wizz Air|508||LTN|19:30|FAO|22:25|Ryanair|500||22.02.2019|Friday|Tuesday
19|05.03.2019|PRG|11:35|FAO|21:35|11:00|1049|PRG|11:35|FAO|13:00|Ryanair|338||EIN|19:30|FAO|21:35|Ryanair|710||22.02.2019|Friday|Tuesday
20|01.04.2019|PRG|06:35|FAO|18:00|12:25|1059|PRG|06:35|FAO|07:35|Ryanair|528||STN|15:05|FAO|18:00|Ryanair|530||22.02.2019|Friday|Monday
21|11.05.2019|PRG|16:15|FAO|22:25|7:10|1098|PRG|16:15|FAO|17:20|Wizz Air|508|6|LTN|19:30|FAO|22:25|Ryanair|589||22.02.2019|Friday|Saturday
22|04.05.2019|PRG|16:15|FAO|22:25|7:10|1098|PRG|16:15|FAO|17:20|Wizz Air|508|1|LTN|19:30|FAO|22:25|Ryanair|589||22.02.2019|Friday|Saturday
23|21.05.2019|PRG|06:15|FAO|17:10|11:55|1108|PRG|06:15|FAO|07:50|Ryanair|438||CRL|15:15|FAO|17:10|Ryanair|669||22.02.2019|Friday|Tuesday
24|29.05.2019|PRG|06:35|FAO|20:55|15:20|1118|PRG|06:35|FAO|07:35|Ryanair|528|5|STN|18:00|FAO|20:55|Ryanair|589|1|22.02.2019|Friday|Wednesday
25|30.04.2019|PRG|06:35|FAO|18:55|13:20|1118|PRG|06:35|FAO|07:35|Ryanair|676|5|STN|16:00|FAO|18:55|Ryanair|441||22.02.2019|Friday|Tuesday
26|04.06.2019|PRG|06:15|FAO|17:10|11:55|1169|PRG|06:15|FAO|07:50|Ryanair|528|1|CRL|15:15|FAO|17:10|Ryanair|640|1|22.02.2019|Friday|Tuesday
27|11.05.2019|PRG|06:15|FAO|15:05|9:50|1169|PRG|06:15|FAO|07:50|Ryanair|528||CRL|13:10|FAO|15:05|Ryanair|640||22.02.2019|Friday|Saturday
28|19.06.2019|PRG|08:55|FAO|15:50|7:55|1169|PRG|08:55|FAO|10:30|Ryanair|528||CRL|13:55|FAO|15:50|Ryanair|640||22.02.2019|Friday|Wednesday
29|14.06.2019|PRG|06:15|FAO|15:50|10:35|1169|PRG|06:15|FAO|07:50|Ryanair|528|4|CRL|13:55|FAO|15:50|Ryanair|640||22.02.2019|Friday|Friday
30|18.06.2019|PRG|06:15|FAO|17:10|11:55|1169|PRG|06:15|FAO|07:50|Ryanair|528||CRL|15:15|FAO|17:10|Ryanair|640||22.02.2019|Friday|Tuesday
31|25.06.2019|PRG|06:15|FAO|17:10|11:55|1169|PRG|06:15|FAO|07:50|Ryanair|528|5|CRL|15:15|FAO|17:10|Ryanair|640||22.02.2019|Friday|Tuesday
