uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
0|26.03.2019|PRG|11:35|FAO|21:35|11:00|670|PRG|11:35|FAO|13:00|Ryanair|339||EIN|19:30|FAO|21:35|Ryanair|331||03.02.2019|Sunday|Tuesday
1|12.03.2019|PRG|11:35|FAO|21:35|11:00|670|PRG|11:35|FAO|13:00|Ryanair|339||EIN|19:30|FAO|21:35|Ryanair|331||03.02.2019|Sunday|Tuesday
2|03.04.2019|PRG|07:50|FAO|13:05|6:15|822|PRG|07:50|FAO|09:15|Ryanair|389||EIN|11:00|FAO|13:05|Ryanair|433||03.02.2019|Sunday|Wednesday
3|03.04.2019|PRG|08:55|FAO|15:50|7:55|898|PRG|08:55|FAO|10:30|Ryanair|389||CRL|13:55|FAO|15:50|Ryanair|509|3|03.02.2019|Sunday|Wednesday
4|02.04.2019|PRG|06:15|FAO|17:10|11:55|898|PRG|06:15|FAO|07:50|Ryanair|389||CRL|15:15|FAO|17:10|Ryanair|509|1|03.02.2019|Sunday|Tuesday
5|19.03.2019|PRG|11:35|FAO|21:35|11:00|1046|PRG|11:35|FAO|13:00|Ryanair|339||EIN|19:30|FAO|21:35|Ryanair|706|4|03.02.2019|Sunday|Tuesday
6|27.03.2019|PRG|07:20|FAO|22:05|15:45|1054|PRG|07:20|FAO|08:30|Ryanair|676||STN|19:10|FAO|22:05|Ryanair|378|3|03.02.2019|Sunday|Wednesday
7|13.03.2019|PRG|07:20|FAO|22:05|15:45|1054|PRG|07:20|FAO|08:30|Ryanair|676|3|STN|19:10|FAO|22:05|Ryanair|378|4|03.02.2019|Sunday|Wednesday
8|04.04.2019|PRG|06:15|FAO|15:50|10:35|1054|PRG|06:15|FAO|07:50|Ryanair|389||CRL|13:55|FAO|15:50|Ryanair|665|1|03.02.2019|Sunday|Thursday
9|26.02.2019|PRG|11:35|FAO|21:35|11:00|1096|PRG|11:35|FAO|13:00|Ryanair|389||EIN|19:30|FAO|21:35|Ryanair|706|5|03.02.2019|Sunday|Tuesday
10|16.05.2019|PRG|06:15|FAO|15:50|10:35|1166|PRG|06:15|FAO|07:50|Ryanair|529||CRL|13:55|FAO|15:50|Ryanair|637||03.02.2019|Sunday|Thursday
11|15.05.2019|PRG|08:55|FAO|15:50|7:55|1166|PRG|08:55|FAO|10:30|Ryanair|529|1|CRL|13:55|FAO|15:50|Ryanair|637||03.02.2019|Sunday|Wednesday
12|21.05.2019|PRG|06:15|FAO|17:10|11:55|1166|PRG|06:15|FAO|07:50|Ryanair|529||CRL|15:15|FAO|17:10|Ryanair|637||03.02.2019|Sunday|Tuesday
13|22.05.2019|PRG|08:55|FAO|15:50|7:55|1166|PRG|08:55|FAO|10:30|Ryanair|529||CRL|13:55|FAO|15:50|Ryanair|637||03.02.2019|Sunday|Wednesday
14|13.05.2019|PRG|06:15|FAO|18:15|13:00|1166|PRG|06:15|FAO|07:50|Ryanair|529|1|CRL|16:20|FAO|18:15|Ryanair|637||03.02.2019|Sunday|Monday
15|26.06.2019|PRG|07:50|FAO|13:05|6:15|1166|PRG|07:50|FAO|09:15|Ryanair|529||EIN|11:00|FAO|13:05|Ryanair|637||03.02.2019|Sunday|Wednesday
16|14.05.2019|PRG|06:15|FAO|17:10|11:55|1166|PRG|06:15|FAO|07:50|Ryanair|529||CRL|15:15|FAO|17:10|Ryanair|637||03.02.2019|Sunday|Tuesday
17|19.06.2019|PRG|08:55|FAO|15:50|7:55|1166|PRG|08:55|FAO|10:30|Ryanair|529|3|CRL|13:55|FAO|15:50|Ryanair|637||03.02.2019|Sunday|Wednesday
18|09.05.2019|PRG|06:15|FAO|15:50|10:35|1166|PRG|06:15|FAO|07:50|Ryanair|529||CRL|13:55|FAO|15:50|Ryanair|637|1|03.02.2019|Sunday|Thursday
19|03.05.2019|PRG|06:15|FAO|15:50|10:35|1166|PRG|06:15|FAO|07:50|Ryanair|529||CRL|13:55|FAO|15:50|Ryanair|637||03.02.2019|Sunday|Friday
20|07.05.2019|PRG|06:15|FAO|17:10|11:55|1166|PRG|06:15|FAO|07:50|Ryanair|529||CRL|15:15|FAO|17:10|Ryanair|637||03.02.2019|Sunday|Tuesday
21|18.06.2019|PRG|06:15|FAO|17:10|11:55|1166|PRG|06:15|FAO|07:50|Ryanair|529||CRL|15:15|FAO|17:10|Ryanair|637|5|03.02.2019|Sunday|Tuesday
