uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
0|15.05.2019|PRG|11:40|FAO|20:55|10:15|840|PRG|11:40|FAO|12:40|Ryanair|389||STN|18:00|FAO|20:55|Ryanair|451||24.03.2019|Sunday|Wednesday
1|14.05.2019|PRG|06:35|FAO|18:55|13:20|840|PRG|06:35|FAO|07:35|Ryanair|389||STN|16:00|FAO|18:55|Ryanair|451|4|24.03.2019|Sunday|Tuesday
2|15.05.2019|PRG|11:40|FAO|17:55|7:15|840|PRG|11:40|FAO|12:40|Ryanair|389||STN|15:00|FAO|17:55|Ryanair|451||24.03.2019|Sunday|Wednesday
3|21.05.2019|PRG|06:35|FAO|18:55|13:20|840|PRG|06:35|FAO|07:35|Ryanair|389||STN|16:00|FAO|18:55|Ryanair|451||24.03.2019|Sunday|Tuesday
4|15.05.2019|PRG|06:35|FAO|20:55|15:20|840|PRG|06:35|FAO|07:35|Ryanair|389||STN|18:00|FAO|20:55|Ryanair|451||24.03.2019|Sunday|Wednesday
5|15.05.2019|PRG|06:35|FAO|17:55|12:20|840|PRG|06:35|FAO|07:35|Ryanair|389||STN|15:00|FAO|17:55|Ryanair|451||24.03.2019|Sunday|Wednesday
6|14.05.2019|PRG|06:15|FAO|17:50|12:35|904|PRG|06:15|FAO|07:50|Ryanair|389||CRL|15:55|FAO|17:50|Ryanair|515|5|24.03.2019|Sunday|Tuesday
7|15.05.2019|PRG|08:55|FAO|15:50|7:55|904|PRG|08:55|FAO|10:30|Ryanair|389||CRL|13:55|FAO|15:50|Ryanair|515||24.03.2019|Sunday|Wednesday
8|18.05.2019|PRG|16:15|FAO|22:25|7:10|960|PRG|16:15|FAO|17:20|Wizz Air|508||LTN|19:30|FAO|22:25|Ryanair|451|4|24.03.2019|Sunday|Saturday
9|21.05.2019|PRG|16:15|FAO|22:25|7:10|960|PRG|16:15|FAO|17:20|Wizz Air|508|8|LTN|19:30|FAO|22:25|Ryanair|451||24.03.2019|Sunday|Tuesday
10|14.05.2019|PRG|16:15|FAO|22:25|7:10|960|PRG|16:15|FAO|17:20|Wizz Air|508||LTN|19:30|FAO|22:25|Ryanair|451||24.03.2019|Sunday|Tuesday
11|07.05.2019|PRG|06:15|FAO|17:50|12:35|1061|PRG|06:15|FAO|07:50|Ryanair|389||CRL|15:55|FAO|17:50|Ryanair|672|1|24.03.2019|Sunday|Tuesday
12|20.05.2019|PRG|06:15|FAO|18:15|13:00|1061|PRG|06:15|FAO|07:50|Ryanair|389|3|CRL|16:20|FAO|18:15|Ryanair|672||24.03.2019|Sunday|Monday
13|11.05.2019|PRG|16:15|FAO|22:25|7:10|1080|PRG|16:15|FAO|17:20|Wizz Air|628|4|LTN|19:30|FAO|22:25|Ryanair|451||24.03.2019|Sunday|Saturday
14|13.05.2019|PRG|06:35|FAO|18:00|12:25|1127|PRG|06:35|FAO|07:35|Ryanair|676|1|STN|15:05|FAO|18:00|Ryanair|451|4|24.03.2019|Sunday|Monday
15|17.04.2019|PRG|06:35|FAO|17:55|12:20|1143|PRG|06:35|FAO|07:35|Ryanair|233||STN|15:00|FAO|17:55|Ryanair|909|2|24.03.2019|Sunday|Wednesday
16|11.05.2019|PRG|06:35|FAO|22:10|16:35|1170|PRG|06:35|FAO|07:35|Ryanair|718||STN|19:15|FAO|22:10|Ryanair|451|5|24.03.2019|Sunday|Saturday
17|12.05.2019|PRG|06:35|FAO|13:45|8:10|1170|PRG|06:35|FAO|07:35|Ryanair|718|1|STN|10:50|FAO|13:45|Ryanair|451||24.03.2019|Sunday|Sunday
18|19.06.2019|PRG|08:55|FAO|15:50|7:55|1172|PRG|08:55|FAO|10:30|Ryanair|529||CRL|13:55|FAO|15:50|Ryanair|643|2|24.03.2019|Sunday|Wednesday
19|18.06.2019|PRG|06:15|FAO|17:50|12:35|1172|PRG|06:15|FAO|07:50|Ryanair|529||CRL|15:55|FAO|17:50|Ryanair|643|4|24.03.2019|Sunday|Tuesday
20|17.04.2019|PRG|11:40|FAO|17:55|7:15|1182|PRG|11:40|FAO|12:40|Ryanair|273||STN|15:00|FAO|17:55|Ryanair|909|2|24.03.2019|Sunday|Wednesday
21|09.05.2019|PRG|06:15|FAO|15:50|10:35|1187|PRG|06:15|FAO|07:50|Ryanair|389||CRL|13:55|FAO|15:50|Ryanair|798|5|24.03.2019|Sunday|Thursday
22|21.05.2019|PRG|06:15|FAO|17:50|12:35|1187|PRG|06:15|FAO|07:50|Ryanair|389||CRL|15:55|FAO|17:50|Ryanair|798||24.03.2019|Sunday|Tuesday
23|13.05.2019|PRG|06:15|FAO|18:15|13:00|1191|PRG|06:15|FAO|07:50|Ryanair|676|3|CRL|16:20|FAO|18:15|Ryanair|515||24.03.2019|Sunday|Monday
24|15.05.2019|PRG|10:50|FAO|19:50|10:00|733|PRG|10:50|FAO|11:45|easyJet|342|8|SEN|17:05|FAO|19:50|Ryanair|391||24.03.2019|Sunday|Wednesday
25|20.05.2019|PRG|06:35|FAO|18:00|12:25|1200|PRG|06:35|FAO|07:35|Ryanair|389|2|STN|15:05|FAO|18:00|Ryanair|810||24.03.2019|Sunday|Monday
26|11.06.2019|PRG|06:35|FAO|18:55|13:20|1221|PRG|06:35|FAO|07:35|Ryanair|529|3|STN|16:00|FAO|18:55|Ryanair|692||24.03.2019|Sunday|Tuesday
27|28.05.2019|PRG|06:15|FAO|17:50|12:35|1229|PRG|06:15|FAO|07:50|Ryanair|389||CRL|15:55|FAO|17:50|Ryanair|840||24.03.2019|Sunday|Tuesday
28|04.06.2019|PRG|16:15|FAO|22:25|7:10|1231|PRG|16:15|FAO|17:20|Wizz Air|628|2|LTN|19:30|FAO|22:25|Ryanair|602||24.03.2019|Sunday|Tuesday
29|25.06.2019|PRG|16:15|FAO|22:25|7:10|1231|PRG|16:15|FAO|17:20|Wizz Air|628|5|LTN|19:30|FAO|22:25|Ryanair|602|3|24.03.2019|Sunday|Tuesday
30|30.04.2019|PRG|06:35|FAO|18:55|13:20|1236|PRG|06:35|FAO|07:35|Ryanair|845||STN|16:00|FAO|18:55|Ryanair|391||24.03.2019|Sunday|Tuesday
31|11.05.2019|PRG|06:15|FAO|15:05|9:50|1237|PRG|06:15|FAO|07:50|Ryanair|389||CRL|13:10|FAO|15:05|Ryanair|848|1|24.03.2019|Sunday|Saturday
32|17.05.2019|PRG|06:15|FAO|15:50|10:35|1237|PRG|06:15|FAO|07:50|Ryanair|389||CRL|13:55|FAO|15:50|Ryanair|848|1|24.03.2019|Sunday|Friday
33|12.06.2019|PRG|07:50|FAO|13:05|6:15|1243|PRG|07:50|FAO|09:15|Ryanair|599||EIN|11:00|FAO|13:05|Ryanair|643||24.03.2019|Sunday|Wednesday
34|19.06.2019|PRG|07:50|FAO|13:05|6:15|1243|PRG|07:50|FAO|09:15|Ryanair|599||EIN|11:00|FAO|13:05|Ryanair|643|2|24.03.2019|Sunday|Wednesday
35|26.06.2019|PRG|07:50|FAO|13:05|6:15|1243|PRG|07:50|FAO|09:15|Ryanair|599||EIN|11:00|FAO|13:05|Ryanair|643||24.03.2019|Sunday|Wednesday
36|07.05.2019|PRG|06:35|FAO|18:55|13:20|1266|PRG|06:35|FAO|07:35|Ryanair|815|1|STN|16:00|FAO|18:55|Ryanair|451||24.03.2019|Sunday|Tuesday
37|20.05.2019|PRG|10:50|FAO|18:55|9:05|824|PRG|10:50|FAO|11:45|easyJet|432|5|SEN|16:10|FAO|18:55|Ryanair|391||24.03.2019|Sunday|Monday
38|17.04.2019|PRG|06:35|FAO|20:55|15:20|1290|PRG|06:35|FAO|07:35|Ryanair|233||STN|18:00|FAO|20:55|Ryanair|1056|4|24.03.2019|Sunday|Wednesday
39|01.05.2019|PRG|06:35|FAO|17:55|12:20|1297|PRG|06:35|FAO|07:35|Ryanair|845||STN|15:00|FAO|17:55|Ryanair|451|1|24.03.2019|Sunday|Wednesday
40|15.05.2019|PRG|15:05|FAO|20:55|6:50|854|PRG|15:05|FAO|15:55|easyJet|402|8|STN|18:00|FAO|20:55|Ryanair|451||24.03.2019|Sunday|Wednesday
41|05.06.2019|PRG|10:50|FAO|19:50|10:00|854|PRG|10:50|FAO|11:45|easyJet|463|8|SEN|17:05|FAO|19:50|Ryanair|391|5|24.03.2019|Sunday|Wednesday
42|17.04.2019|PRG|11:40|FAO|20:55|10:15|1330|PRG|11:40|FAO|12:40|Ryanair|273||STN|18:00|FAO|20:55|Ryanair|1056|4|24.03.2019|Sunday|Wednesday
