uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
0|26.03.2019|PRG|11:35|FAO|21:35|11:00|723|PRG|11:35|FAO|13:00|Ryanair|339||EIN|19:30|FAO|21:35|Ryanair|384|1|01.03.2019|Friday|Tuesday
1|02.04.2019|PRG|06:35|FAO|18:55|13:20|886|PRG|06:35|FAO|07:35|Ryanair|439||STN|16:00|FAO|18:55|Ryanair|447||01.03.2019|Friday|Tuesday
2|14.05.2019|PRG|06:35|FAO|18:55|13:20|946|PRG|06:35|FAO|07:35|Ryanair|439||STN|16:00|FAO|18:55|Ryanair|507||01.03.2019|Friday|Tuesday
3|02.04.2019|PRG|16:15|FAO|22:25|7:10|956|PRG|16:15|FAO|17:20|Wizz Air|508||LTN|19:30|FAO|22:25|Ryanair|447||01.03.2019|Friday|Tuesday
4|30.04.2019|PRG|16:15|FAO|22:25|7:10|956|PRG|16:15|FAO|17:20|Wizz Air|508||LTN|19:30|FAO|22:25|Ryanair|447||01.03.2019|Friday|Tuesday
5|09.05.2019|PRG|06:15|FAO|15:50|10:35|1002|PRG|06:15|FAO|07:50|Ryanair|439||CRL|13:55|FAO|15:50|Ryanair|563|1|01.03.2019|Friday|Thursday
6|16.05.2019|PRG|06:15|FAO|15:50|10:35|1002|PRG|06:15|FAO|07:50|Ryanair|439||CRL|13:55|FAO|15:50|Ryanair|563|3|01.03.2019|Friday|Thursday
7|14.05.2019|PRG|06:15|FAO|17:10|11:55|1002|PRG|06:15|FAO|07:50|Ryanair|439||CRL|15:15|FAO|17:10|Ryanair|563||01.03.2019|Friday|Tuesday
8|15.05.2019|PRG|08:55|FAO|15:50|7:55|1002|PRG|08:55|FAO|10:30|Ryanair|439||CRL|13:55|FAO|15:50|Ryanair|563||01.03.2019|Friday|Wednesday
9|21.05.2019|PRG|06:15|FAO|17:10|11:55|1002|PRG|06:15|FAO|07:50|Ryanair|439||CRL|15:15|FAO|17:10|Ryanair|563||01.03.2019|Friday|Tuesday
10|07.05.2019|PRG|06:15|FAO|17:10|11:55|1002|PRG|06:15|FAO|07:50|Ryanair|439||CRL|15:15|FAO|17:10|Ryanair|563|5|01.03.2019|Friday|Tuesday
11|14.05.2019|PRG|16:15|FAO|22:25|7:10|1016|PRG|16:15|FAO|17:20|Wizz Air|508||LTN|19:30|FAO|22:25|Ryanair|507||01.03.2019|Friday|Tuesday
12|11.05.2019|PRG|16:15|FAO|22:25|7:10|1106|PRG|16:15|FAO|17:20|Wizz Air|508|6|LTN|19:30|FAO|22:25|Ryanair|597||01.03.2019|Friday|Saturday
13|22.05.2019|PRG|08:55|FAO|15:50|7:55|1107|PRG|08:55|FAO|10:30|Ryanair|439||CRL|13:55|FAO|15:50|Ryanair|668|4|01.03.2019|Friday|Wednesday
14|30.04.2019|PRG|06:35|FAO|18:55|13:20|1124|PRG|06:35|FAO|07:35|Ryanair|676||STN|16:00|FAO|18:55|Ryanair|447||01.03.2019|Friday|Tuesday
15|11.05.2019|PRG|06:35|FAO|22:10|16:35|1126|PRG|06:35|FAO|07:35|Ryanair|528|1|STN|19:15|FAO|22:10|Ryanair|597||01.03.2019|Friday|Saturday
16|18.05.2019|PRG|16:20|FAO|22:10|6:50|1126|PRG|16:20|FAO|17:10|Ryanair|528|5|STN|19:15|FAO|22:10|Ryanair|597|1|01.03.2019|Friday|Saturday
17|18.05.2019|PRG|06:35|FAO|22:10|16:35|1126|PRG|06:35|FAO|07:35|Ryanair|528|3|STN|19:15|FAO|22:10|Ryanair|597|1|01.03.2019|Friday|Saturday
18|19.03.2019|PRG|11:35|FAO|21:35|11:00|1138|PRG|11:35|FAO|13:00|Ryanair|339||EIN|19:30|FAO|21:35|Ryanair|799|4|01.03.2019|Friday|Tuesday
19|15.05.2019|PRG|07:50|FAO|13:05|6:15|1149|PRG|07:50|FAO|09:15|Ryanair|439||EIN|11:00|FAO|13:05|Ryanair|710|4|01.03.2019|Friday|Wednesday
20|11.05.2019|PRG|06:15|FAO|15:05|9:50|1169|PRG|06:15|FAO|07:50|Ryanair|528||CRL|13:10|FAO|15:05|Ryanair|640|2|01.03.2019|Friday|Saturday
21|12.05.2019|PRG|06:05|FAO|15:50|10:45|1169|PRG|06:05|FAO|07:40|Ryanair|528|4|CRL|13:55|FAO|15:50|Ryanair|640|1|01.03.2019|Friday|Sunday
22|14.06.2019|PRG|06:15|FAO|15:50|10:35|1169|PRG|06:15|FAO|07:50|Ryanair|528||CRL|13:55|FAO|15:50|Ryanair|640||01.03.2019|Friday|Friday
23|25.06.2019|PRG|06:15|FAO|17:10|11:55|1169|PRG|06:15|FAO|07:50|Ryanair|528||CRL|15:15|FAO|17:10|Ryanair|640|2|01.03.2019|Friday|Tuesday
24|18.06.2019|PRG|06:15|FAO|17:10|11:55|1169|PRG|06:15|FAO|07:50|Ryanair|528|5|CRL|15:15|FAO|17:10|Ryanair|640|4|01.03.2019|Friday|Tuesday
25|13.05.2019|PRG|06:15|FAO|18:15|13:00|1169|PRG|06:15|FAO|07:50|Ryanair|528||CRL|16:20|FAO|18:15|Ryanair|640||01.03.2019|Friday|Monday
26|17.06.2019|PRG|06:15|FAO|18:15|13:00|1169|PRG|06:15|FAO|07:50|Ryanair|528||CRL|16:20|FAO|18:15|Ryanair|640||01.03.2019|Friday|Monday
27|04.06.2019|PRG|06:15|FAO|17:10|11:55|1169|PRG|06:15|FAO|07:50|Ryanair|528|2|CRL|15:15|FAO|17:10|Ryanair|640|3|01.03.2019|Friday|Tuesday
28|08.05.2019|PRG|07:50|FAO|13:05|6:15|1188|PRG|07:50|FAO|09:15|Ryanair|676|1|EIN|11:00|FAO|13:05|Ryanair|512||01.03.2019|Friday|Wednesday
29|29.04.2019|PRG|06:35|FAO|18:00|12:25|1214|PRG|06:35|FAO|07:35|Ryanair|676||STN|15:05|FAO|18:00|Ryanair|537|5|01.03.2019|Friday|Monday
30|04.05.2019|PRG|16:15|FAO|22:25|7:10|1226|PRG|16:15|FAO|17:20|Wizz Air|628|8|LTN|19:30|FAO|22:25|Ryanair|597||01.03.2019|Friday|Saturday
31|12.06.2019|PRG|07:50|FAO|13:05|6:15|1239|PRG|07:50|FAO|09:15|Ryanair|598||EIN|11:00|FAO|13:05|Ryanair|640||01.03.2019|Friday|Wednesday
32|05.06.2019|PRG|07:50|FAO|13:05|6:15|1239|PRG|07:50|FAO|09:15|Ryanair|598|2|EIN|11:00|FAO|13:05|Ryanair|640|5|01.03.2019|Friday|Wednesday
33|26.06.2019|PRG|07:50|FAO|13:05|6:15|1239|PRG|07:50|FAO|09:15|Ryanair|598||EIN|11:00|FAO|13:05|Ryanair|640||01.03.2019|Friday|Wednesday
34|19.06.2019|PRG|07:50|FAO|13:05|6:15|1239|PRG|07:50|FAO|09:15|Ryanair|598||EIN|11:00|FAO|13:05|Ryanair|640||01.03.2019|Friday|Wednesday
35|15.05.2019|PRG|11:40|FAO|17:55|7:15|1243|PRG|11:40|FAO|12:40|Ryanair|439|3|STN|15:00|FAO|17:55|Ryanair|804|4|01.03.2019|Friday|Wednesday
36|15.05.2019|PRG|11:40|FAO|20:55|10:15|1243|PRG|11:40|FAO|12:40|Ryanair|439|3|STN|18:00|FAO|20:55|Ryanair|804||01.03.2019|Friday|Wednesday
37|03.04.2019|PRG|11:40|FAO|20:55|10:15|1243|PRG|11:40|FAO|12:40|Ryanair|439||STN|18:00|FAO|20:55|Ryanair|804||01.03.2019|Friday|Wednesday
38|03.04.2019|PRG|06:35|FAO|20:55|15:20|1243|PRG|06:35|FAO|07:35|Ryanair|439||STN|18:00|FAO|20:55|Ryanair|804||01.03.2019|Friday|Wednesday
39|15.05.2019|PRG|06:35|FAO|17:55|12:20|1243|PRG|06:35|FAO|07:35|Ryanair|439||STN|15:00|FAO|17:55|Ryanair|804|4|01.03.2019|Friday|Wednesday
40|15.05.2019|PRG|06:35|FAO|20:55|15:20|1243|PRG|06:35|FAO|07:35|Ryanair|439||STN|18:00|FAO|20:55|Ryanair|804||01.03.2019|Friday|Wednesday
