uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
0|30.04.2019|PRG|06:35|FAO|18:55|13:20|775|PRG|06:35|FAO|07:35|Ryanair|389||STN|16:00|FAO|18:55|Ryanair|386||12.03.2019|Tuesday|Tuesday
1|02.04.2019|PRG|06:35|FAO|18:55|13:20|775|PRG|06:35|FAO|07:35|Ryanair|389|5|STN|16:00|FAO|18:55|Ryanair|386||12.03.2019|Tuesday|Tuesday
2|14.05.2019|PRG|06:35|FAO|18:55|13:20|834|PRG|06:35|FAO|07:35|Ryanair|389||STN|16:00|FAO|18:55|Ryanair|445|5|12.03.2019|Tuesday|Tuesday
3|14.05.2019|PRG|06:15|FAO|17:50|12:35|902|PRG|06:15|FAO|07:50|Ryanair|389||CRL|15:55|FAO|17:50|Ryanair|512||12.03.2019|Tuesday|Tuesday
4|15.05.2019|PRG|08:55|FAO|15:50|7:55|902|PRG|08:55|FAO|10:30|Ryanair|389||CRL|13:55|FAO|15:50|Ryanair|512|1|12.03.2019|Tuesday|Wednesday
5|07.05.2019|PRG|06:15|FAO|17:50|12:35|902|PRG|06:15|FAO|07:50|Ryanair|389|2|CRL|15:55|FAO|17:50|Ryanair|512|1|12.03.2019|Tuesday|Tuesday
6|11.05.2019|PRG|16:15|FAO|22:25|7:10|954|PRG|16:15|FAO|17:20|Wizz Air|508|9|LTN|19:30|FAO|22:25|Ryanair|445||12.03.2019|Tuesday|Saturday
7|18.05.2019|PRG|16:15|FAO|22:25|7:10|954|PRG|16:15|FAO|17:20|Wizz Air|508|9|LTN|19:30|FAO|22:25|Ryanair|445||12.03.2019|Tuesday|Saturday
8|14.05.2019|PRG|16:15|FAO|22:25|7:10|954|PRG|16:15|FAO|17:20|Wizz Air|508||LTN|19:30|FAO|22:25|Ryanair|445||12.03.2019|Tuesday|Tuesday
9|30.04.2019|PRG|16:15|FAO|22:25|7:10|1015|PRG|16:15|FAO|17:20|Wizz Air|628|1|LTN|19:30|FAO|22:25|Ryanair|386||12.03.2019|Tuesday|Tuesday
10|02.04.2019|PRG|16:15|FAO|22:25|7:10|1015|PRG|16:15|FAO|17:20|Wizz Air|628||LTN|19:30|FAO|22:25|Ryanair|386||12.03.2019|Tuesday|Tuesday
11|10.05.2019|PRG|06:15|FAO|15:50|10:35|1058|PRG|06:15|FAO|07:50|Ryanair|389|2|CRL|13:55|FAO|15:50|Ryanair|669||12.03.2019|Tuesday|Friday
12|09.05.2019|PRG|06:15|FAO|15:50|10:35|1058|PRG|06:15|FAO|07:50|Ryanair|389||CRL|13:55|FAO|15:50|Ryanair|669||12.03.2019|Tuesday|Thursday
13|21.05.2019|PRG|06:15|FAO|17:10|11:55|1058|PRG|06:15|FAO|07:50|Ryanair|389||CRL|15:15|FAO|17:10|Ryanair|669||12.03.2019|Tuesday|Tuesday
14|16.05.2019|PRG|06:15|FAO|15:50|10:35|1058|PRG|06:15|FAO|07:50|Ryanair|389||CRL|13:55|FAO|15:50|Ryanair|669|5|12.03.2019|Tuesday|Thursday
15|22.05.2019|PRG|08:55|FAO|15:50|7:55|1058|PRG|08:55|FAO|10:30|Ryanair|389||CRL|13:55|FAO|15:50|Ryanair|669||12.03.2019|Tuesday|Wednesday
16|15.05.2019|PRG|07:50|FAO|13:05|6:15|1100|PRG|07:50|FAO|09:15|Ryanair|389||EIN|11:00|FAO|13:05|Ryanair|711||12.03.2019|Tuesday|Wednesday
