uid|date_of_departure|departure_airport|time_of_departure|arrival_airport|time_of_arrival|flight_duration|flight_fare|departure_airport_flight_1|time_of_departure_flight_1|arrival_airport_flight_1|time_of_arrival_flight_1|airlines_flight_1|flight_fare_flight_1|seats_for_lower_price_flight_1|departure_airport_flight_2|time_of_departure_flight_2|arrival_airport_flight_2|time_of_arrival_flight_2|airlines_flight_2|flight_fare_flight_2|seats_for_lower_price_flight_2|date_of_download|day_of_download|day_of_departure
0|12.03.2019|PRG|11:35|FAO|21:35|11:00|852|PRG|11:35|FAO|13:00|Ryanair|388||EIN|19:30|FAO|21:35|Ryanair|463||08.02.2019|Friday|Tuesday
1|16.03.2019|PRG|07:20|FAO|22:05|15:45|1015|PRG|07:20|FAO|08:30|Ryanair|485|1|STN|19:10|FAO|22:05|Ryanair|529||08.02.2019|Friday|Saturday
2|09.03.2019|PRG|07:20|FAO|22:05|15:45|1015|PRG|07:20|FAO|08:30|Ryanair|485||STN|19:10|FAO|22:05|Ryanair|529||08.02.2019|Friday|Saturday
3|12.03.2019|PRG|07:20|FAO|22:05|15:45|1015|PRG|07:20|FAO|08:30|Ryanair|485||STN|19:10|FAO|22:05|Ryanair|529|5|08.02.2019|Friday|Tuesday
4|02.04.2019|PRG|16:15|FAO|22:25|7:10|1038|PRG|16:15|FAO|17:20|Wizz Air|509||LTN|19:30|FAO|22:25|Ryanair|529||08.02.2019|Friday|Tuesday
5|03.04.2019|PRG|11:40|FAO|17:55|7:15|1058|PRG|11:40|FAO|12:40|Ryanair|528||STN|15:00|FAO|17:55|Ryanair|529||08.02.2019|Friday|Wednesday
6|30.04.2019|PRG|06:35|FAO|18:55|13:20|1058|PRG|06:35|FAO|07:35|Ryanair|528||STN|16:00|FAO|18:55|Ryanair|529||08.02.2019|Friday|Tuesday
7|16.04.2019|PRG|06:35|FAO|18:55|13:20|1058|PRG|06:35|FAO|07:35|Ryanair|528||STN|16:00|FAO|18:55|Ryanair|529||08.02.2019|Friday|Tuesday
8|03.04.2019|PRG|06:35|FAO|17:55|12:20|1058|PRG|06:35|FAO|07:35|Ryanair|528||STN|15:00|FAO|17:55|Ryanair|529||08.02.2019|Friday|Wednesday
9|26.03.2019|PRG|11:35|FAO|21:35|11:00|1104|PRG|11:35|FAO|13:00|Ryanair|388||EIN|19:30|FAO|21:35|Ryanair|715||08.02.2019|Friday|Tuesday
10|15.05.2019|PRG|07:50|FAO|13:05|6:15|1121|PRG|07:50|FAO|09:15|Ryanair|528||EIN|11:00|FAO|13:05|Ryanair|592||08.02.2019|Friday|Wednesday
11|21.05.2019|PRG|06:15|FAO|17:10|11:55|1173|PRG|06:15|FAO|07:50|Ryanair|528||CRL|15:15|FAO|17:10|Ryanair|644|5|08.02.2019|Friday|Tuesday
12|20.05.2019|PRG|06:15|FAO|18:15|13:00|1173|PRG|06:15|FAO|07:50|Ryanair|528||CRL|16:20|FAO|18:15|Ryanair|644||08.02.2019|Friday|Monday
13|07.05.2019|PRG|06:15|FAO|17:10|11:55|1173|PRG|06:15|FAO|07:50|Ryanair|528||CRL|15:15|FAO|17:10|Ryanair|644|5|08.02.2019|Friday|Tuesday
14|18.06.2019|PRG|06:15|FAO|17:10|11:55|1173|PRG|06:15|FAO|07:50|Ryanair|528||CRL|15:15|FAO|17:10|Ryanair|644|5|08.02.2019|Friday|Tuesday
15|09.05.2019|PRG|06:15|FAO|15:50|10:35|1173|PRG|06:15|FAO|07:50|Ryanair|528||CRL|13:55|FAO|15:50|Ryanair|644|5|08.02.2019|Friday|Thursday
16|19.06.2019|PRG|07:50|FAO|13:05|6:15|1173|PRG|07:50|FAO|09:15|Ryanair|528||EIN|11:00|FAO|13:05|Ryanair|644||08.02.2019|Friday|Wednesday
17|12.06.2019|PRG|07:50|FAO|13:05|6:15|1173|PRG|07:50|FAO|09:15|Ryanair|528||EIN|11:00|FAO|13:05|Ryanair|644||08.02.2019|Friday|Wednesday
18|14.05.2019|PRG|06:15|FAO|17:10|11:55|1173|PRG|06:15|FAO|07:50|Ryanair|528||CRL|15:15|FAO|17:10|Ryanair|644||08.02.2019|Friday|Tuesday
19|15.05.2019|PRG|08:55|FAO|15:50|7:55|1173|PRG|08:55|FAO|10:30|Ryanair|528|4|CRL|13:55|FAO|15:50|Ryanair|644|2|08.02.2019|Friday|Wednesday
20|17.05.2019|PRG|06:15|FAO|15:50|10:35|1202|PRG|06:15|FAO|07:50|Ryanair|528||CRL|13:55|FAO|15:50|Ryanair|673|2|08.02.2019|Friday|Friday
21|19.05.2019|PRG|06:05|FAO|15:50|10:45|1202|PRG|06:05|FAO|07:40|Ryanair|528|2|CRL|13:55|FAO|15:50|Ryanair|673|3|08.02.2019|Friday|Sunday
22|29.05.2019|PRG|06:35|FAO|20:55|15:20|1205|PRG|06:35|FAO|07:35|Ryanair|528||STN|18:00|FAO|20:55|Ryanair|676||08.02.2019|Friday|Wednesday
23|13.03.2019|PRG|07:20|FAO|22:05|15:45|1206|PRG|07:20|FAO|08:30|Ryanair|676||STN|19:10|FAO|22:05|Ryanair|529|2|08.02.2019|Friday|Wednesday
24|30.03.2019|PRG|07:20|FAO|22:05|15:45|1206|PRG|07:20|FAO|08:30|Ryanair|676||STN|19:10|FAO|22:05|Ryanair|529|4|08.02.2019|Friday|Saturday
